n	n	n	n	n
0.153488	0.941787	0.907758	0.051050	0.411535	
0.979243	0.606747	0.343810	0.084492	0.962023	
0.758750	0.088918	0.194878	0.253815	0.521682	
0.239215	0.663796	0.354776	0.117477	0.071803	
0.045392	0.482364	0.120359	0.323316	0.513758	
0.882680	0.496503	0.255594	0.803575	0.845006	
0.539262	0.176183	0.670882	0.894099	0.720326	
0.131069	0.157297	0.954806	0.761171	0.925255	
0.584410	0.317791	0.396965	0.445378	0.437830	
0.470014	0.736291	0.891076	0.772542	0.666812	
0.231569	0.115184	0.963016	0.749746	0.780387	
0.839530	0.759245	0.329063	0.291064	0.627612	
0.811236	0.704269	0.781825	0.587649	0.264591	
0.880011	0.585768	0.569375	0.514675	0.515223	
0.616556	0.902099	0.642544	0.236958	0.218042	
0.271168	0.501530	0.133909	0.624964	0.199372	
0.729233	0.744077	0.369475	0.036179	0.343246	
0.398602	0.140365	0.961411	0.781882	0.083920	
0.537786	0.671330	0.025609	0.012738	0.839612	
0.705941	0.176920	0.092527	0.786489	0.319977	
0.426551	0.629089	0.322237	0.957680	0.042739	
0.817944	0.028400	0.523361	0.938089	0.568629	
0.696621	0.765337	0.914300	0.862358	0.027480	
0.142643	0.283228	0.148832	0.589862	0.770233	
0.965038	0.292736	0.795762	0.406318	0.566063	
0.913079	0.504773	0.296529	0.906604	0.236204	
0.992645	0.519952	0.900532	0.675913	0.406639	
0.264561	0.142222	0.099049	0.296943	0.963941	
0.304726	0.488982	0.401772	0.797312	0.035382	
0.247128	0.826111	0.761001	0.609862	0.620073	
0.858950	0.785178	0.354582	0.341305	0.642459	
0.794583	0.786766	0.159151	0.862993	0.110957	
0.913010	0.986423	0.499622	0.103557	0.532655	
0.389808	0.846182	0.774485	0.563481	0.585968	
0.205087	0.991349	0.279442	0.843651	0.675687	
0.672540	0.986939	0.783665	0.097672	0.718020	
0.031367	0.520787	0.426862	0.906381	0.637338	
0.180991	0.429808	0.121450	0.097355	0.109821	
0.621928	0.499213	0.878097	0.266377	0.996584	
0.160765	0.572858	0.824087	0.686936	0.076585	
0.537749	0.034936	0.050005	0.559456	0.909052	
0.989087	0.692896	0.736790	0.982175	0.934036	
0.703066	0.076442	0.446825	0.214664	0.038366	
0.955605	0.571778	0.944737	0.602881	0.749442	
0.297490	0.341583	0.190469	0.624071	0.157781	
0.073012	0.696695	0.966061	0.079762	0.284015	
0.861002	0.397291	0.373792	0.087160	0.465342	
0.955958	0.550468	0.243725	0.297373	0.360449	
0.808060	0.592980	0.071549	0.768675	0.364465	
0.055942	0.072828	0.247909	0.273833	0.549119	
0.555654	0.559062	0.882379	0.544764	0.543934	
0.543989	0.968161	0.728843	0.383539	0.593030	
0.593685	0.987520	0.558294	0.047267	0.382039	
0.965245	0.353555	0.022068	0.389312	0.717529	
0.130198	0.333433	0.958342	0.990968	0.737266	
0.729512	0.068643	0.552380	0.877249	0.506004	
0.279515	0.196784	0.622929	0.061524	0.320013	
0.605555	0.717882	0.209262	0.637860	0.049911	
0.272580	0.835288	0.108035	0.918941	0.238668	
0.934310	0.809652	0.752515	0.055810	0.360905	
0.457114	0.964525	0.184725	0.403156	0.066264	
0.645711	0.083337	0.322820	0.544094	0.912199	
0.105922	0.784182	0.341783	0.973324	0.371434	
0.305429	0.395009	0.344449	0.952374	0.696510	
0.839056	0.673848	0.092172	0.047073	0.715162	
0.125647	0.089533	0.532685	0.590497	0.941858	
0.336613	0.350651	0.554795	0.066065	0.986667	
0.150327	0.209298	0.127303	0.572350	0.754855	
0.314892	0.801566	0.446606	0.548229	0.686778	
0.023912	0.527749	0.472861	0.191896	0.936716	
0.888824	0.691826	0.241129	0.997777	0.358667	
0.507554	0.773057	0.988633	0.476418	0.995115	
0.248020	0.320699	0.072077	0.261098	0.659077	
0.487447	0.545342	0.228242	0.168910	0.552813	
0.789921	0.813038	0.317335	0.615685	0.115834	
0.184522	0.361177	0.083213	0.423288	0.296245	
0.506797	0.377397	0.394180	0.570672	0.402840	
0.019960	0.159564	0.687832	0.611830	0.553906	
0.482372	0.956757	0.870552	0.132694	0.453709	
0.658535	0.168619	0.908602	0.351847	0.981433	
0.293634	0.048783	0.556401	0.161938	0.145950	
0.418298	0.069251	0.524568	0.859498	0.045644	
0.881920	0.161991	0.221929	0.166417	0.699158	
0.596215	0.415588	0.507641	0.967536	0.763619	
0.411520	0.249605	0.994826	0.518452	0.388370	
0.671590	0.952292	0.216025	0.149704	0.094496	
0.298043	0.515137	0.926151	0.368923	0.398185	
0.181799	0.186882	0.187851	0.581437	0.973152	
0.390867	0.320186	0.830432	0.047969	0.667757	
0.921741	0.855293	0.767803	0.781108	0.905673	
0.333701	0.470090	0.668441	0.784453	0.619617	
0.877581	0.659142	0.575427	0.883002	0.880084	
0.610381	0.727230	0.252084	0.965583	0.111284	
0.664613	0.338541	0.699255	0.015165	0.151450	
0.904827	0.236480	0.192111	0.659676	0.388951	
0.972338	0.629923	0.638370	0.994335	0.136952	
0.791329	0.838992	0.939724	0.807315	0.229549	
0.120393	0.353387	0.613843	0.709508	0.985106	
0.355507	0.167352	0.105902	0.831381	0.539912	
0.543097	0.512591	0.452665	0.432907	0.472910	
0.079735	0.091014	0.707873	0.441265	0.856461	
0.735294	0.451339	0.491491	0.080011	0.478654	
0.745307	0.036518	0.775622	0.695821	0.684731	
0.111415	0.717710	0.671676	0.202829	0.545155	
0.990316	0.227276	0.304187	0.563274	0.731817	
0.267688	0.199287	0.317849	0.398217	0.667993	
0.923031	0.135020	0.253609	0.103263	0.744251	
0.230035	0.197398	0.718374	0.183762	0.220385	
0.554605	0.423120	0.863891	0.834443	0.462519	
0.711656	0.474785	0.283415	0.786831	0.443659	
0.498969	0.192566	0.648333	0.231340	0.393855	
0.224542	0.332098	0.272711	0.479432	0.252818	
0.993661	0.265624	0.746932	0.535481	0.773114	
0.559889	0.053418	0.858201	0.375371	0.670190	
0.175676	0.059363	0.620945	0.037280	0.995177	
0.689470	0.989384	0.403019	0.162348	0.626849	
0.563588	0.970167	0.779524	0.777692	0.721909	
0.940770	0.408964	0.929290	0.406609	0.104474	
0.051853	0.294754	0.834881	0.656416	0.928612	
0.423233	0.889495	0.360438	0.263741	0.987884	
0.483148	0.870478	0.580454	0.065708	0.371649	
0.394068	0.015237	0.408971	0.143147	0.451244	
0.247792	0.469040	0.687809	0.133848	0.552342	
0.472927	0.018227	0.145281	0.124001	0.630980	
0.307915	0.640525	0.312431	0.648589	0.992190	
0.210903	0.667924	0.630008	0.006171	0.557003	
0.029787	0.082161	0.869127	0.346482	0.472659	
0.500745	0.082118	0.849959	0.441194	0.461939	
0.325484	0.618672	0.526441	0.564181	0.242432	
0.538430	0.790173	0.698877	0.031518	0.756386	
0.148305	0.259055	0.054025	0.729768	0.577380	
0.938259	0.052031	0.415413	0.833546	0.158297	
0.227447	0.833681	0.507888	0.460157	0.824566	
0.466358	0.702144	0.389897	0.087143	0.478650	
0.394886	0.710991	0.723470	0.625113	0.808146	
0.584114	0.471824	0.123749	0.488303	0.022398	
0.241434	0.439252	0.948511	0.144222	0.731894	
0.975727	0.225841	0.258364	0.173886	0.517776	
0.507856	0.693337	0.435136	0.036224	0.894129	
0.745096	0.371139	0.213729	0.690097	0.782621	
0.226719	0.458789	0.234002	0.078105	0.761976	
0.349145	0.588576	0.685913	0.538269	0.319038	
0.434275	0.210608	0.108518	0.939571	0.075998	
0.843454	0.195448	0.832664	0.771967	0.273812	
0.975485	0.809747	0.510798	0.615342	0.473325	
0.710028	0.687397	0.862765	0.340414	0.402646	
0.005875	0.274851	0.291636	0.985588	0.050053	
0.887788	0.188392	0.127682	0.439802	0.576597	
0.151911	0.928667	0.017944	0.922380	0.832619	
0.478563	0.879818	0.081458	0.949794	0.492570	
0.313511	0.822756	0.758705	0.599757	0.577154	
0.488955	0.015540	0.379685	0.043687	0.163810	
0.674913	0.863972	0.936626	0.852451	0.624976	
0.525573	0.452135	0.252608	0.843297	0.904818	
0.922783	0.457076	0.891611	0.276590	0.574071	
0.285104	0.488906	0.728396	0.571588	0.959673	
0.351277	0.871984	0.235812	0.349339	0.724378	
0.481256	0.635841	0.586724	0.700599	0.219180	
0.435053	0.977751	0.740007	0.990257	0.566269	
0.101568	0.921189	0.951390	0.271656	0.125342	
0.589994	0.751106	0.783127	0.494676	0.073575	
0.683915	0.758808	0.632407	0.175688	0.345092	
0.576174	0.562922	0.434320	0.171818	0.200767	
0.779582	0.532891	0.990626	0.473112	0.576558	
0.791633	0.115117	0.455091	0.896386	0.441391	
0.998597	0.355740	0.252556	0.934226	0.511871	
0.648186	0.410128	0.704483	0.579696	0.051967	
0.747687	0.801716	0.025689	0.547015	0.232957	
0.919362	0.275128	0.973960	0.937447	0.751157	
0.363705	0.346607	0.624242	0.060538	0.834747	
0.413876	0.181814	0.460955	0.121228	0.756784	
0.048248	0.187211	0.375106	0.642098	0.541950	
0.693162	0.174860	0.310826	0.717926	0.411606	
0.352721	0.967491	0.525501	0.846296	0.286403	
