n	n	n	n	n
0.193111	0.353471	0.407891	0.722626	0.284539	
0.095769	0.842437	0.408817	0.631300	0.246118	
0.985642	0.561198	0.721113	0.177298	0.494454	
0.807675	0.639175	0.414635	0.615266	0.845843	
0.804285	0.512616	0.059082	0.058683	0.827575	
0.902377	0.312886	0.267515	0.673888	0.700962	
0.099139	0.823798	0.568327	0.599736	0.450423	
0.540579	0.540141	0.661308	0.376206	0.520915	
0.725162	0.544064	0.655419	0.562102	0.809908	
0.593757	0.770712	0.035956	0.147088	0.597518	
0.098611	0.432330	0.436934	0.609745	0.268169	
0.592195	0.626918	0.198702	0.129176	0.391988	
0.727197	0.081202	0.333931	0.897462	0.505874	
0.219602	0.734079	0.492185	0.648342	0.143457	
0.544168	0.273341	0.800571	0.145103	0.507342	
0.116593	0.174256	0.278749	0.446150	0.775424	
0.135734	0.491450	0.527953	0.637093	0.008866	
0.023362	0.915681	0.966875	0.466574	0.258180	
0.456374	0.200652	0.019790	0.678950	0.083457	
0.610471	0.431346	0.989393	0.093349	0.920702	
0.815481	0.984405	0.430290	0.291558	0.252532	
0.648279	0.003867	0.003601	0.646352	0.251659	
0.382821	0.773479	0.561578	0.245812	0.546897	
0.339707	0.080501	0.704329	0.340992	0.005265	
0.531392	0.768934	0.805783	0.628218	0.788893	
0.642849	0.976930	0.070559	0.659179	0.824461	
0.670685	0.725320	0.162072	0.285907	0.458366	
0.964872	0.981543	0.468044	0.095030	0.103371	
0.197350	0.593026	0.787792	0.878011	0.685353	
0.583366	0.419196	0.975611	0.910974	0.758800	
0.347036	0.041969	0.608616	0.982057	0.484263	
0.566138	0.514946	0.345871	0.555531	0.385438	
0.821068	0.953495	0.117785	0.389044	0.647100	
0.571152	0.389821	0.730599	0.077344	0.656674	
0.640076	0.137176	0.518119	0.224727	0.764719	
0.803608	0.418512	0.943352	0.124421	0.912367	
0.927480	0.943934	0.314738	0.408985	0.042871	
0.584665	0.534872	0.995020	0.664825	0.594378	
0.575112	0.833768	0.231162	0.333234	0.785731	
0.295139	0.048060	0.551219	0.307029	0.034500	
0.022662	0.913801	0.256640	0.234866	0.295958	
0.297577	0.918288	0.335902	0.417974	0.858141	
0.566802	0.854605	0.677273	0.374895	0.476775	
0.971730	0.866961	0.117027	0.749865	0.432170	
0.345159	0.845485	0.714880	0.996423	0.940538	
0.602684	0.683437	0.635704	0.477299	0.053142	
0.250304	0.543266	0.923923	0.094891	0.975580	
0.732478	0.643414	0.799571	0.353985	0.886654	
0.025477	0.205360	0.315509	0.492211	0.584892	
0.114797	0.187979	0.385645	0.349517	0.530905	
0.764089	0.551733	0.043363	0.095770	0.867886	
0.640264	0.804529	0.171806	0.138111	0.517144	
0.160009	0.704484	0.362668	0.375796	0.381467	
0.924269	0.826259	0.016638	0.635549	0.638857	
0.664594	0.465497	0.164296	0.368811	0.406975	
0.531446	0.496426	0.472016	0.722921	0.285050	
0.838527	0.530102	0.361124	0.474060	0.382060	
0.577569	0.340798	0.489991	0.232393	0.165647	
0.674712	0.848786	0.537397	0.955804	0.610305	
0.803210	0.800826	0.345005	0.607063	0.657098	
0.776938	0.540774	0.419105	0.498509	0.727377	
0.501111	0.659588	0.106697	0.848756	0.534612	
0.108296	0.078096	0.256870	0.960251	0.922402	
0.389318	0.790749	0.076484	0.005815	0.687880	
0.403348	0.935559	0.727963	0.106418	0.908311	
0.746533	0.283199	0.455798	0.112627	0.300272	
0.848017	0.558118	0.422281	0.245813	0.118884	
0.496131	0.371264	0.577860	0.373537	0.489429	
0.060316	0.983123	0.159786	0.927342	0.966633	
0.064173	0.267750	0.351306	0.133265	0.317120	
0.473170	0.886480	0.295254	0.882842	0.267087	
0.246767	0.832675	0.281463	0.087894	0.393461	
0.958202	0.613533	0.176618	0.759974	0.938753	
0.440142	0.533361	0.389168	0.617611	0.972616	
0.260116	0.492705	0.846988	0.500096	0.363987	
0.043980	0.749333	0.722986	0.889742	0.061999	
0.315523	0.779574	0.777267	0.532075	0.357327	
0.054388	0.891709	0.370166	0.459418	0.829701	
0.920410	0.125598	0.437919	0.824415	0.200481	
0.884018	0.909312	0.711632	0.596506	0.620094	
0.908015	0.714582	0.037286	0.007488	0.346254	
0.483104	0.694672	0.820786	0.975969	0.973634	
0.729193	0.378074	0.232333	0.790482	0.068894	
0.091534	0.815813	0.385888	0.890277	0.633858	
0.947051	0.218199	0.582717	0.938937	0.269374	
0.027060	0.097421	0.723950	0.055879	0.682483	
0.327904	0.998936	0.748791	0.892419	0.838016	
0.307560	0.916857	0.308956	0.556180	0.804285	
0.744421	0.421366	0.998332	0.594816	0.322460	
0.342109	0.532301	0.139402	0.824875	0.959346	
0.145371	0.703533	0.500918	0.010030	0.403427	
0.230500	0.103130	0.397990	0.266783	0.427204	
0.081928	0.610817	0.607794	0.634384	0.650272	
0.940723	0.520714	0.257484	0.083583	0.570831	
0.606983	0.780736	0.570139	0.802939	0.659053	
0.534429	0.369247	0.467345	0.655038	0.439859	
0.791612	0.218875	0.082734	0.746596	0.607679	
0.954378	0.846228	0.600137	0.301083	0.322131	
0.161843	0.967162	0.249292	0.291296	0.049544	
0.322581	0.798998	0.097728	0.092361	0.648334	
0.525428	0.715583	0.429817	0.924609	0.921726	
0.392530	0.593068	0.071997	0.785552	0.632870	
0.951073	0.393527	0.458664	0.289951	0.032675	
0.607917	0.013780	0.300284	0.241017	0.957646	
0.281746	0.352273	0.037545	0.340679	0.200667	
0.652352	0.269925	0.749433	0.657373	0.502638	
0.375469	0.920120	0.957982	0.854107	0.823570	
0.238936	0.557090	0.156660	0.372411	0.264755	
0.739674	0.156187	0.403040	0.688847	0.216804	
0.509907	0.539459	0.346527	0.017838	0.095346	
0.781926	0.151602	0.638669	0.656285	0.518521	
0.605917	0.018489	0.695375	0.965246	0.769483	
0.788046	0.071642	0.269497	0.245403	0.666050	
0.163384	0.721268	0.597577	0.178022	0.519942	
0.206479	0.972943	0.303966	0.727437	0.210218	
0.133147	0.999812	0.633901	0.390068	0.834461	
0.633349	0.671479	0.504659	0.691809	0.651547	
0.782432	0.140993	0.060173	0.804661	0.305523	
0.816969	0.614844	0.569764	0.637082	0.240481	
0.111863	0.880856	0.749069	0.848662	0.687820	
0.278274	0.009685	0.242503	0.813148	0.669642	
0.873524	0.361769	0.689212	0.729441	0.516756	
0.180081	0.845022	0.994280	0.525387	0.569623	
0.752750	0.705344	0.702877	0.515372	0.752268	
0.601409	0.330235	0.984047	0.748615	0.108164	
0.711522	0.335669	0.525076	0.692595	0.007786	
0.768642	0.837869	0.855514	0.063242	0.608435	
0.806860	0.534066	0.362669	0.858582	0.504834	
0.820321	0.405874	0.149450	0.521952	0.750225	
0.593106	0.164254	0.945656	0.450417	0.766202	
0.516004	0.167293	0.367769	0.535115	0.850263	
0.889041	0.078892	0.495027	0.199749	0.912804	
0.813256	0.422241	0.970324	0.809728	0.626846	
