n	n	n	n	n
0.435019	0.050003	0.003452	0.289056	0.615625	
0.565622	0.963624	0.213241	0.386448	0.882692	
0.794264	0.243400	0.020802	0.980304	0.671594	
0.317985	0.968649	0.323957	0.883580	0.010704	
0.985564	0.050048	0.246503	0.457927	0.690559	
0.561789	0.930831	0.081483	0.556363	0.265529	
0.359076	0.759079	0.499128	0.075374	0.799720	
0.470538	0.026928	0.423805	0.736273	0.033513	
0.397321	0.502281	0.069343	0.741087	0.535057	
0.079383	0.951899	0.125524	0.959890	0.088191	
0.053085	0.718298	0.262471	0.242889	0.565020	
0.855268	0.410255	0.740283	0.166069	0.104551	
0.910681	0.473348	0.196569	0.092469	0.278996	
0.987614	0.048307	0.214032	0.406501	0.584813	
0.785362	0.988581	0.618840	0.547473	0.041470	
0.758955	0.884883	0.687221	0.101142	0.230150	
0.654209	0.861216	0.458265	0.188941	0.948117	
0.448384	0.879746	0.567434	0.269581	0.170327	
0.038569	0.013783	0.450206	0.369321	0.555602	
0.048983	0.324107	0.878584	0.532599	0.205109	
0.457286	0.256941	0.544473	0.342781	0.820879	
0.550321	0.338068	0.595254	0.509792	0.368500	
0.796471	0.802027	0.947381	0.322624	0.333246	
0.928184	0.644319	0.175954	0.097206	0.057662	
0.649998	0.441298	0.554697	0.745139	0.650878	
0.173799	0.971070	0.807107	0.558546	0.282920	
0.321975	0.794467	0.291645	0.270934	0.760120	
0.411119	0.114347	0.888377	0.039007	0.377289	
0.341955	0.571959	0.868521	0.603262	0.887046	
0.226877	0.005599	0.546800	0.597686	0.733971	
0.769198	0.523660	0.700656	0.840720	0.166761	
0.963573	0.284280	0.691239	0.487959	0.888542	
0.078358	0.533610	0.069393	0.844111	0.140607	
0.558526	0.914797	0.677538	0.623560	0.677458	
0.712952	0.594761	0.497305	0.781096	0.808723	
0.779057	0.296981	0.062455	0.700356	0.137493	
0.606597	0.726337	0.291356	0.035242	0.249255	
0.686577	0.639696	0.665798	0.121084	0.292947	
0.074163	0.398367	0.002174	0.085436	0.135715	
0.550547	0.777759	0.763852	0.092170	0.046738	
0.787007	0.755860	0.915901	0.682171	0.834038	
0.048537	0.218735	0.994588	0.862104	0.760888	
0.282535	0.466808	0.811831	0.789701	0.676853	
0.494307	0.854016	0.004926	0.502008	0.906840	
0.671390	0.194467	0.988392	0.806631	0.332090	
0.307273	0.944777	0.000381	0.000652	0.111332	
0.194262	0.148728	0.167409	0.883379	0.708643	
0.326384	0.855664	0.909142	0.244703	0.266196	
0.226304	0.686655	0.757784	0.681505	0.684079	
0.457201	0.513014	0.275656	0.011442	0.503506	
0.879085	0.457213	0.261083	0.099900	0.559200	
0.866030	0.441826	0.811552	0.995173	0.624286	
0.490185	0.630679	0.573141	0.649876	0.211994	
0.565089	0.915406	0.915742	0.662657	0.827665	
0.068521	0.826327	0.701067	0.754701	0.915127	
0.830735	0.278180	0.416894	0.943548	0.117817	
0.662331	0.778904	0.391896	0.138005	0.971089	
0.648723	0.749399	0.529477	0.138289	0.823615	
0.089309	0.117783	0.685556	0.413524	0.481822	
0.513262	0.094439	0.938953	0.291399	0.525102	
0.229678	0.932144	0.146193	0.415543	0.211286	
0.654707	0.098262	0.854024	0.868637	0.878534	
0.147806	0.491657	0.758691	0.316694	0.427575	
0.848569	0.544606	0.686911	0.618596	0.169291	
0.366596	0.237828	0.699682	0.310228	0.444969	
0.273368	0.848552	0.608280	0.887009	0.435064	
0.589381	0.884292	0.661544	0.521785	0.693006	
0.398805	0.865377	0.948746	0.307052	0.126841	
0.059420	0.149767	0.166591	0.321308	0.127485	
0.394170	0.906621	0.329240	0.038660	0.845305	
0.836006	0.341619	0.980707	0.542598	0.811412	
0.262851	0.592480	0.936689	0.105201	0.520198	
0.259647	0.818707	0.279914	0.727316	0.532778	
0.830197	0.674733	0.283963	0.419746	0.622423	
0.772654	0.771713	0.629174	0.346969	0.370553	
0.102929	0.108868	0.921938	0.385525	0.629216	
0.545276	0.156267	0.535157	0.307253	0.672421	
0.989958	0.886418	0.569693	0.765919	0.391486	
0.206333	0.876324	0.656235	0.656727	0.842357	
0.135290	0.619802	0.242432	0.380066	0.280136	
0.048254	0.731028	0.774167	0.060824	0.656384	
0.407243	0.247962	0.735787	0.902865	0.603697	
0.981248	0.057315	0.534040	0.080264	0.133047	
0.681125	0.348486	0.106926	0.233216	0.783639	
0.805283	0.077294	0.416493	0.421218	0.879347	
0.118049	0.244658	0.046535	0.636838	0.518932	
0.119457	0.742601	0.833014	0.296402	0.460055	
0.411604	0.904402	0.711038	0.229596	0.695457	
0.515920	0.032014	0.070668	0.685499	0.728462	
0.137723	0.386045	0.108369	0.544852	0.010429	
0.601316	0.549171	0.600275	0.153297	0.090373	
0.752280	0.547649	0.795207	0.048166	0.355203	
0.172650	0.495326	0.665976	0.874135	0.242686	
0.014152	0.452485	0.268607	0.922737	0.135103	
0.665774	0.274810	0.918748	0.025683	0.158268	
0.308828	0.581640	0.173619	0.210328	0.316614	
0.239938	0.250529	0.645047	0.343492	0.017507	
0.438819	0.360925	0.520730	0.447467	0.287774	
0.876884	0.382372	0.623951	0.625585	0.435421	
0.518285	0.408738	0.683331	0.433165	0.832395	
0.181194	0.886689	0.447653	0.304149	0.112442	
0.616279	0.135189	0.107283	0.365760	0.673989	
0.603605	0.289338	0.198060	0.618275	0.358348	
0.279465	0.351818	0.870167	0.186539	0.206977	
0.046965	0.451221	0.433633	0.947832	0.963043	
0.090642	0.880202	0.623193	0.259909	0.897563	
0.421076	0.554387	0.270551	0.442566	0.888913	
0.489585	0.228203	0.067017	0.681991	0.943101	
0.356888	0.430620	0.261729	0.559982	0.536766	
0.354181	0.225804	0.657901	0.396320	0.935086	
0.137748	0.179621	0.625156	0.899872	0.351648	
0.934743	0.300751	0.802401	0.085582	0.663905	
0.039709	0.052848	0.880763	0.945284	0.222481	
0.383655	0.868004	0.532429	0.561628	0.020425	
0.379780	0.649934	0.806243	0.624297	0.553184	
0.119067	0.878012	0.445966	0.371448	0.836010	
0.505386	0.002578	0.461140	0.222927	0.210631	
0.075270	0.965010	0.177961	0.364297	0.583603	
0.633942	0.306605	0.970709	0.198128	0.426673	
0.307139	0.576789	0.879983	0.805091	0.593648	
0.730575	0.253377	0.785307	0.224407	0.879377	
0.183390	0.854279	0.847042	0.106904	0.636758	
0.115463	0.242168	0.640002	0.060067	0.346554	
0.496986	0.257929	0.277538	0.351013	0.764668	
0.698502	0.906848	0.881117	0.293904	0.557213	
0.655627	0.378739	0.699813	0.146511	0.328179	
0.467465	0.940357	0.622278	0.215147	0.286848	
0.307218	0.881448	0.773680	0.680314	0.480788	
0.320014	0.236632	0.020252	0.601977	0.084759	
0.539543	0.499566	0.877969	0.429243	0.162558	
0.512095	0.581315	0.629786	0.034115	0.218852	
0.398697	0.415275	0.519744	0.394878	0.567961	
