n	n	n	n	n
0.766920	0.221807	0.884739	0.994441	0.843277	
0.638571	0.647134	0.543628	0.426317	0.422005	
0.968202	0.732444	0.871001	0.592577	0.025388	
0.748433	0.413557	0.946836	0.571276	0.446172	
0.506200	0.106739	0.808011	0.859735	0.928597	
0.091610	0.957064	0.303908	0.699702	0.789705	
0.916248	0.958688	0.873930	0.808623	0.782509	
0.814742	0.437104	0.823237	0.205083	0.102706	
0.762123	0.098469	0.816302	0.526652	0.110380	
0.402147	0.689852	0.152035	0.197520	0.778846	
0.804983	0.795693	0.829603	0.162756	0.228528	
0.971606	0.214459	0.888886	0.334764	0.029798	
0.344435	0.823946	0.307032	0.781564	0.003018	
0.630276	0.505757	0.638185	0.051455	0.141045	
0.098789	0.898857	0.935343	0.860380	0.903376	
0.544474	0.492649	0.712637	0.281128	0.149740	
0.851962	0.745681	0.032997	0.719131	0.805642	
0.950704	0.281449	0.518347	0.643162	0.321736	
0.479892	0.087290	0.010076	0.855725	0.932428	
0.960212	0.722329	0.025910	0.828940	0.194571	
0.235021	0.853443	0.706585	0.657832	0.957551	
0.553332	0.228978	0.104859	0.735221	0.757990	
0.456546	0.837272	0.596038	0.867042	0.923402	
0.295619	0.685817	0.127734	0.742907	0.953128	
0.071922	0.588278	0.854657	0.134629	0.105827	
0.910498	0.933396	0.756098	0.629088	0.352404	
0.634645	0.257177	0.407632	0.543173	0.998158	
0.901031	0.379174	0.025354	0.643677	0.374885	
0.513532	0.610363	0.161725	0.805105	0.287522	
0.660842	0.284158	0.667889	0.202151	0.850505	
0.919786	0.992722	0.602167	0.142671	0.678628	
0.503642	0.751728	0.606943	0.245098	0.265274	
0.751276	0.417336	0.859586	0.414836	0.922064	
0.177678	0.353569	0.565876	0.376663	0.085922	
0.318093	0.295116	0.631518	0.441441	0.543990	
0.628025	0.755164	0.822637	0.500586	0.149339	
0.274179	0.536635	0.078458	0.019420	0.373838	
0.376905	0.763741	0.748166	0.976941	0.320004	
0.555082	0.062873	0.048989	0.508526	0.430434	
0.432366	0.262480	0.016137	0.459228	0.485593	
0.889152	0.238071	0.626612	0.255858	0.485008	
0.211061	0.390288	0.156311	0.528853	0.638562	
0.384542	0.446197	0.880020	0.434664	0.407831	
0.591280	0.014967	0.643586	0.410658	0.158222	
0.636098	0.038259	0.064302	0.843353	0.595621	
0.365576	0.573509	0.467868	0.392099	0.530610	
0.877911	0.889127	0.932757	0.300981	0.072615	
0.112006	0.972527	0.535681	0.122003	0.086990	
0.622168	0.029703	0.072073	0.343148	0.261264	
0.872106	0.248084	0.386620	0.438424	0.288013	
0.025292	0.651757	0.930387	0.105061	0.520060	
0.917736	0.030589	0.040842	0.004279	0.723003	
0.041756	0.382318	0.064106	0.705156	0.097983	
0.366059	0.458481	0.545756	0.755725	0.664129	
0.155891	0.523249	0.331207	0.215943	0.696365	
0.098887	0.341834	0.766554	0.741045	0.744368	
0.537485	0.413615	0.385279	0.337593	0.803661	
0.860728	0.753131	0.910490	0.393786	0.455362	
0.072591	0.159974	0.273790	0.967266	0.539456	
0.804098	0.826461	0.481881	0.605523	0.401298	
0.481169	0.320585	0.747072	0.881420	0.355333	
0.237541	0.281210	0.254986	0.599873	0.698038	
0.857079	0.863176	0.552702	0.885911	0.005851	
0.454183	0.289771	0.980652	0.215912	0.860920	
0.402974	0.788370	0.959435	0.162465	0.100174	
0.437373	0.639688	0.189035	0.428237	0.084898	
0.581891	0.639347	0.842212	0.093484	0.837515	
0.805826	0.611498	0.155679	0.399530	0.359501	
0.062777	0.262268	0.245998	0.084756	0.493610	
0.567810	0.097560	0.739119	0.613737	0.465317	
0.781127	0.313976	0.500097	0.759513	0.029224	
0.592816	0.325697	0.286861	0.740104	0.157638	
0.476175	0.532296	0.909409	0.881632	0.627403	
0.182223	0.575567	0.038937	0.752400	0.968671	
0.981697	0.456821	0.433418	0.070896	0.583597	
0.455043	0.562053	0.313590	0.850144	0.537092	
0.534242	0.666883	0.409143	0.413767	0.644165	
0.755581	0.988633	0.393375	0.486946	0.722405	
0.752577	0.463892	0.915607	0.533456	0.606358	
0.619461	0.387434	0.338885	0.718299	0.781280	
0.438806	0.311113	0.685307	0.171835	0.075682	
0.645045	0.022314	0.672539	0.714236	0.910583	
0.839220	0.270928	0.792955	0.302257	0.495293	
0.911828	0.930516	0.179017	0.712912	0.679949	
0.033437	0.465934	0.008971	0.237272	0.946166	
0.036262	0.353244	0.817095	0.577783	0.567054	
0.211964	0.137492	0.581961	0.714833	0.072810	
0.248226	0.464288	0.348905	0.618783	0.120750	
0.457457	0.255127	0.400130	0.431042	0.135735	
0.947055	0.645092	0.353227	0.163349	0.206773	
0.641376	0.654466	0.145844	0.913590	0.202052	
0.348225	0.278427	0.573472	0.787084	0.768647	
0.577341	0.834982	0.709511	0.861512	0.651785	
