n	n	n	n	n
0.952551	0.985113	0.220792	0.986884	0.142296	
0.587068	0.545795	0.818666	0.964719	0.944859	
0.397260	0.371921	0.267062	0.156030	0.392281	
0.646988	0.739854	0.872725	0.636614	0.050156	
0.791276	0.277090	0.862747	0.578206	0.008034	
0.816460	0.018712	0.394798	0.306153	0.062495	
0.605374	0.401078	0.321143	0.752857	0.275779	
0.743639	0.881639	0.896849	0.882582	0.559186	
0.868745	0.684267	0.610584	0.621687	0.673213	
0.433909	0.959101	0.021319	0.653336	0.700024	
0.079691	0.758027	0.874844	0.832484	0.172995	
0.357302	0.706423	0.364162	0.055987	0.085653	
0.923049	0.744649	0.882247	0.611398	0.103735	
0.831114	0.451902	0.079337	0.014114	0.174669	
0.628394	0.230681	0.951432	0.654526	0.197446	
0.331111	0.829115	0.087155	0.892222	0.946501	
0.328266	0.681246	0.203092	0.086935	0.579151	
0.737335	0.222364	0.391970	0.242965	0.072133	
0.980778	0.496337	0.546512	0.408278	0.422762	
0.520963	0.472905	0.528471	0.997373	0.216620	
0.967611	0.001494	0.653940	0.553962	0.952928	
0.133768	0.140080	0.623746	0.230568	0.142334	
0.302211	0.990125	0.497531	0.428938	0.190093	
0.469959	0.203507	0.748223	0.222060	0.436626	
0.202589	0.883240	0.383706	0.933921	0.505645	
0.462560	0.388626	0.861802	0.846434	0.599403	
0.072274	0.638128	0.277993	0.513812	0.525529	
0.689190	0.979477	0.080480	0.402164	0.749346	
0.891193	0.316982	0.191688	0.339006	0.869243	
0.726217	0.351787	0.295002	0.459433	0.004942	
0.181026	0.227727	0.481628	0.831834	0.430704	
0.294536	0.024128	0.963605	0.364567	0.742756	
0.833900	0.786455	0.561994	0.378677	0.161744	
0.272963	0.532227	0.374269	0.998153	0.398326	
0.827100	0.950660	0.577904	0.414764	0.916718	
0.308969	0.958747	0.996843	0.193207	0.593171	
0.746463	0.706089	0.207454	0.211559	0.105607	
0.171648	0.729259	0.169664	0.543368	0.044579	
0.512799	0.470991	0.800814	0.310820	0.675269	
0.565391	0.699757	0.491216	0.589347	0.542511	
0.384719	0.270183	0.360435	0.220794	0.873678	
0.403961	0.729992	0.367666	0.166347	0.311120	
0.760458	0.770614	0.584237	0.307971	0.146946	
0.034731	0.764069	0.203373	0.659458	0.125864	
0.179358	0.566593	0.693591	0.260667	0.863510	
0.716952	0.677024	0.754237	0.710411	0.868772	
0.517594	0.465930	0.351187	0.787499	0.945031	
0.966711	0.942103	0.331679	0.086821	0.318135	
0.030731	0.135002	0.540521	0.845494	0.964309	
0.521177	0.521292	0.248423	0.384177	0.575007	
0.159739	0.851732	0.392722	0.790187	0.816880	
0.920352	0.585526	0.414896	0.788109	0.598581	
0.978535	0.782412	0.725860	0.796324	0.854724	
0.245556	0.069595	0.385162	0.895842	0.149337	
0.425345	0.016445	0.372919	0.738921	0.468089	
0.293680	0.747141	0.932376	0.640206	0.962289	
0.221519	0.361143	0.716442	0.168405	0.281016	
0.614195	0.148700	0.310551	0.127987	0.053932	
0.450625	0.185645	0.924594	0.346913	0.950145	
0.788188	0.007093	0.107074	0.666415	0.625216	
0.302706	0.377425	0.618054	0.230970	0.184216	
0.169908	0.786591	0.561140	0.637703	0.526137	
0.050223	0.099016	0.671187	0.797023	0.472963	
0.510477	0.827634	0.730276	0.964501	0.553281	
0.290378	0.357613	0.633030	0.757987	0.218983	
0.839548	0.604532	0.657583	0.296791	0.102202	
0.179734	0.130260	0.290519	0.384591	0.846972	
0.749261	0.179505	0.359520	0.288468	0.673708	
0.448119	0.416129	0.008161	0.000630	0.542418	
0.654942	0.741885	0.472294	0.869363	0.211768	
0.793086	0.871065	0.260600	0.242389	0.486428	
0.242573	0.719085	0.093180	0.822704	0.855586	
0.491336	0.491354	0.822459	0.319499	0.048648	
0.450269	0.772561	0.302030	0.696600	0.082665	
0.447924	0.627371	0.107819	0.882423	0.272396	
0.624346	0.062154	0.646749	0.197352	0.875213	
0.451528	0.904310	0.675217	0.325058	0.340513	
0.900818	0.002257	0.108510	0.013906	0.844923	
0.666932	0.902643	0.175084	0.753232	0.545208	
0.766218	0.101781	0.763147	0.728506	0.650198	
0.078704	0.659394	0.437666	0.401480	0.345280	
0.638189	0.715742	0.435565	0.731410	0.883716	
0.639667	0.770335	0.273207	0.031850	0.698005	
0.527466	0.191728	0.192503	0.868515	0.257677	
0.086430	0.244780	0.794454	0.499693	0.288513	
0.796460	0.925218	0.645557	0.591596	0.156711	
0.714323	0.776757	0.768271	0.505105	0.346228	
0.974827	0.872991	0.162310	0.855472	0.181602	
0.532081	0.458037	0.668242	0.041790	0.507115	
0.609501	0.203528	0.776438	0.159367	0.428820	
0.643543	0.201350	0.753770	0.514774	0.156462	
0.006702	0.257389	0.976344	0.810696	0.492863	
0.434396	0.459080	0.296419	0.127932	0.503457	
0.309402	0.282427	0.793735	0.598485	0.423473	
0.075608	0.076316	0.233884	0.563105	0.081446	
0.738892	0.682597	0.145260	0.329393	0.013535	
0.894586	0.563079	0.087055	0.116307	0.138249	
0.915071	0.250948	0.174011	0.158466	0.908832	
0.853164	0.147345	0.414011	0.858948	0.504686	
0.345833	0.417002	0.496295	0.533949	0.301113	
0.797543	0.469335	0.529688	0.813140	0.366790	
0.994843	0.709964	0.527108	0.284739	0.481573	
