n	n	n	i	i
0.169411	0.773618	0.083331	1.000000	3.000000	
0.670547	0.663449	0.042607	1.000000	2.000000	
0.142215	0.560490	0.061541	2.000000	0.000000	
0.294847	0.190767	0.058059	2.000000	2.000000	
0.116771	0.499084	0.496487	1.000000	1.000000	
0.717158	0.074517	0.698136	0.000000	1.000000	
0.784027	0.310536	0.389583	0.000000	1.000000	
0.511375	0.928470	0.807406	1.000000	1.000000	
0.355820	0.538291	0.185984	1.000000	2.000000	
0.256934	0.209645	0.572126	1.000000	0.000000	
0.693539	0.499365	0.657885	1.000000	0.000000	
0.148613	0.521566	0.509119	2.000000	1.000000	
0.449639	0.327770	0.116811	4.000000	0.000000	
0.735771	0.459368	0.454333	0.000000	0.000000	
0.490174	0.530354	0.685103	1.000000	1.000000	
0.082180	0.480046	0.353339	0.000000	0.000000	
0.068523	0.972131	0.613230	1.000000	1.000000	
0.143187	0.865090	0.105564	1.000000	2.000000	
0.811042	0.328027	0.557337	0.000000	1.000000	
0.988025	0.576540	0.595065	1.000000	0.000000	
0.196880	0.279926	0.401500	3.000000	2.000000	
0.393649	0.009346	0.977864	1.000000	1.000000	
0.771159	0.002522	0.739794	3.000000	0.000000	
0.676887	0.413854	0.706352	3.000000	1.000000	
0.241018	0.064060	0.063059	2.000000	1.000000	
0.257589	0.493768	0.647289	1.000000	4.000000	
0.671687	0.562282	0.026232	2.000000	0.000000	
0.598240	0.224388	0.158321	0.000000	0.000000	
0.230733	0.497562	0.412364	3.000000	1.000000	
0.056934	0.833616	0.193619	1.000000	5.000000	
0.296458	0.899475	0.905763	1.000000	2.000000	
0.103415	0.075395	0.209664	4.000000	0.000000	
0.322869	0.837911	0.251432	1.000000	0.000000	
0.762409	0.733912	0.683899	0.000000	1.000000	
0.129066	0.308867	0.960628	3.000000	0.000000	
0.632014	0.932554	0.488527	0.000000	1.000000	
0.154714	0.495901	0.610331	2.000000	1.000000	
0.918999	0.689499	0.723755	1.000000	0.000000	
0.180314	0.788625	0.485265	1.000000	1.000000	
0.684333	0.469085	0.010860	1.000000	1.000000	
0.571259	0.896672	0.882546	1.000000	1.000000	
0.354504	0.621631	0.124752	3.000000	2.000000	
0.050836	0.930083	0.378411	0.000000	0.000000	
0.606938	0.397941	0.566939	3.000000	2.000000	
0.578147	0.929808	0.441314	2.000000	1.000000	
0.555598	0.411964	0.965262	3.000000	1.000000	
0.425686	0.484567	0.395300	0.000000	3.000000	
0.397952	0.699650	0.803695	2.000000	1.000000	
0.644367	0.563822	0.162192	0.000000	1.000000	
0.783790	0.025467	0.086959	2.000000	1.000000	
0.052763	0.238801	0.881457	2.000000	5.000000	
0.155666	0.054359	0.538826	2.000000	3.000000	
0.723449	0.221069	0.983760	2.000000	1.000000	
0.178821	0.818191	0.459706	1.000000	1.000000	
0.278330	0.562220	0.471709	0.000000	0.000000	
0.758025	0.692675	0.505414	1.000000	1.000000	
0.587099	0.060139	0.312745	0.000000	0.000000	
0.221881	0.219152	0.525459	4.000000	0.000000	
0.715365	0.841765	0.250075	0.000000	0.000000	
0.400214	0.714125	0.331500	3.000000	1.000000	
0.232015	0.801772	0.581165	2.000000	0.000000	
0.170479	0.498458	0.482191	0.000000	1.000000	
0.974368	0.498113	0.625379	1.000000	0.000000	
0.750438	0.772248	0.180414	0.000000	0.000000	
0.818047	0.482072	0.270332	1.000000	1.000000	
0.860699	0.660239	0.287084	2.000000	2.000000	
0.484766	0.512421	0.072601	3.000000	0.000000	
0.276655	0.189568	0.560852	0.000000	1.000000	
0.349643	0.140069	0.679416	0.000000	1.000000	
0.079561	0.941640	0.107656	2.000000	0.000000	
0.473441	0.887409	0.507764	2.000000	2.000000	
0.098239	0.100024	0.120782	0.000000	1.000000	
0.544247	0.021674	0.706684	2.000000	1.000000	
0.223007	0.689432	0.471805	2.000000	0.000000	
0.337748	0.424859	0.802561	1.000000	2.000000	
0.208850	0.326358	0.500710	2.000000	1.000000	
0.310955	0.585971	0.286991	3.000000	0.000000	
0.419098	0.631299	0.803192	2.000000	0.000000	
0.300761	0.444765	0.702457	1.000000	2.000000	
0.947663	0.283222	0.972479	2.000000	2.000000	
0.513167	0.355479	0.578174	2.000000	1.000000	
0.272391	0.486050	0.415305	4.000000	0.000000	
0.044420	0.644855	0.733704	2.000000	2.000000	
0.981005	0.780209	0.479755	1.000000	1.000000	
0.871967	0.627069	0.942811	1.000000	4.000000	
0.839279	0.335951	0.951677	1.000000	2.000000	
0.483902	0.124782	0.472798	3.000000	0.000000	
0.444377	0.793091	0.194079	1.000000	2.000000	
0.312597	0.616246	0.741067	0.000000	2.000000	
0.349671	0.217981	0.225314	3.000000	0.000000	
0.155598	0.247472	0.891448	1.000000	2.000000	
0.542694	0.423475	0.231628	0.000000	1.000000	
0.619937	0.114396	0.013520	4.000000	2.000000	
0.685029	0.774666	0.773746	2.000000	1.000000	
0.622296	0.773218	0.390119	2.000000	0.000000	
0.245281	0.416208	0.840547	3.000000	1.000000	
0.159279	0.942258	0.463918	3.000000	0.000000	
0.256147	0.407614	0.271944	1.000000	0.000000	
0.635511	0.224105	0.625122	1.000000	1.000000	
0.914878	0.079205	0.703542	0.000000	1.000000	
0.704690	0.325751	0.466414	2.000000	2.000000	
0.926770	0.374107	0.473520	0.000000	3.000000	
0.904388	0.632944	0.361163	2.000000	1.000000	
0.689352	0.825416	0.722083	5.000000	1.000000	
0.121335	0.656096	0.542793	2.000000	0.000000	
0.890870	0.360224	0.641844	2.000000	1.000000	
0.985419	0.444875	0.126285	1.000000	4.000000	
0.499716	0.702611	0.078791	2.000000	1.000000	
0.332324	0.190039	0.514146	2.000000	0.000000	
0.698086	0.902502	0.471871	1.000000	0.000000	
0.043515	0.071107	0.149162	1.000000	1.000000	
0.705970	0.406285	0.475402	1.000000	1.000000	
0.078863	0.479218	0.809135	2.000000	0.000000	
0.947642	0.728459	0.383083	2.000000	2.000000	
0.047122	0.002846	0.484646	2.000000	0.000000	
0.695951	0.253985	0.730742	1.000000	1.000000	
0.449084	0.114797	0.420750	1.000000	1.000000	
0.284876	0.131910	0.745505	0.000000	1.000000	
0.857315	0.028415	0.964597	1.000000	1.000000	
0.644849	0.564684	0.333199	1.000000	0.000000	
0.259909	0.779290	0.098802	3.000000	2.000000	
0.553724	0.957848	0.110809	3.000000	0.000000	
0.581248	0.646391	0.347101	0.000000	1.000000	
0.274077	0.092330	0.261163	1.000000	1.000000	
0.666105	0.340866	0.082425	1.000000	0.000000	
0.248921	0.200855	0.117426	0.000000	3.000000	
0.430752	0.426074	0.413705	1.000000	1.000000	
0.444782	0.291934	0.689100	0.000000	3.000000	
0.702150	0.733479	0.128569	2.000000	1.000000	
0.539282	0.521355	0.190857	0.000000	0.000000	
0.573461	0.344714	0.502434	3.000000	0.000000	
0.873183	0.797358	0.242059	0.000000	1.000000	
0.739472	0.228081	0.273840	2.000000	2.000000	
0.820951	0.544361	0.055389	2.000000	3.000000	
0.759441	0.512709	0.959355	2.000000	0.000000	
0.534906	0.036640	0.284435	1.000000	2.000000	
0.368514	0.436010	0.692961	2.000000	0.000000	
0.166495	0.373010	0.713474	3.000000	1.000000	
0.753707	0.108585	0.364731	1.000000	1.000000	
0.085272	0.351418	0.440027	0.000000	0.000000	
0.981803	0.353679	0.096091	2.000000	1.000000	
0.815416	0.058319	0.451846	0.000000	1.000000	
0.274459	0.087965	0.084450	1.000000	2.000000	
0.551305	0.895921	0.221573	0.000000	2.000000	
0.218632	0.270648	0.575248	0.000000	2.000000	
0.051562	0.819612	0.231198	2.000000	2.000000	
0.947086	0.400177	0.580532	1.000000	2.000000	
0.721945	0.790339	0.715463	1.000000	1.000000	
0.451141	0.081038	0.974125	0.000000	2.000000	
0.462134	0.743730	0.828628	0.000000	0.000000	
0.866764	0.514953	0.346168	3.000000	1.000000	
0.443755	0.219819	0.632760	1.000000	0.000000	
0.463913	0.269242	0.165671	1.000000	0.000000	
0.912980	0.041089	0.829539	1.000000	1.000000	
0.937048	0.347387	0.577009	0.000000	1.000000	
0.908185	0.512153	0.579494	1.000000	1.000000	
0.809140	0.832215	0.742505	0.000000	1.000000	
0.453794	0.013967	0.989019	2.000000	3.000000	
0.537877	0.015229	0.417839	3.000000	0.000000	
0.776530	0.610188	0.367716	2.000000	0.000000	
0.597432	0.829571	0.473650	2.000000	0.000000	
0.819316	0.228797	0.873990	1.000000	1.000000	
0.988903	0.106636	0.463278	1.000000	0.000000	
0.561674	0.009898	0.932507	0.000000	0.000000	
0.354475	0.245514	0.468121	5.000000	0.000000	
0.832485	0.334028	0.541234	3.000000	0.000000	
0.672208	0.545225	0.303794	3.000000	2.000000	
0.480881	0.907997	0.939865	1.000000	0.000000	
0.870399	0.559537	0.869345	3.000000	2.000000	
0.500900	0.420063	0.801137	2.000000	1.000000	
0.872600	0.410362	0.865281	2.000000	1.000000	
0.494012	0.695904	0.654841	3.000000	2.000000	
0.263925	0.242023	0.535511	0.000000	2.000000	
0.711503	0.272530	0.552559	2.000000	1.000000	
0.734214	0.447209	0.337260	1.000000	1.000000	
0.732620	0.720805	0.583603	2.000000	2.000000	
0.154217	0.402753	0.455036	1.000000	1.000000	
0.265684	0.928989	0.720918	1.000000	0.000000	
0.131990	0.438808	0.973246	2.000000	1.000000	
0.661840	0.502881	0.302404	0.000000	1.000000	
0.093538	0.113675	0.204930	1.000000	0.000000	
0.023526	0.818658	0.086203	3.000000	2.000000	
0.592553	0.650180	0.752891	0.000000	1.000000	
0.569112	0.636237	0.941773	1.000000	0.000000	
0.955076	0.536742	0.477121	0.000000	0.000000	
0.009678	0.549119	0.852188	0.000000	3.000000	
0.177860	0.794422	0.300011	0.000000	0.000000	
0.326193	0.346317	0.547816	1.000000	2.000000	
0.926095	0.038720	0.118785	2.000000	1.000000	
0.088987	0.692138	0.893378	1.000000	0.000000	
0.204379	0.418189	0.325457	0.000000	0.000000	
0.048722	0.907536	0.764263	0.000000	3.000000	
0.257912	0.157901	0.158101	0.000000	1.000000	
0.507858	0.930162	0.026143	1.000000	2.000000	
0.757329	0.582954	0.141893	1.000000	1.000000	
0.557912	0.575457	0.599936	0.000000	2.000000	
0.093388	0.527178	0.596748	1.000000	1.000000	
0.522003	0.981816	0.701353	4.000000	0.000000	
0.133815	0.559310	0.330034	0.000000	1.000000	
0.116955	0.778864	0.987926	1.000000	0.000000	
0.959538	0.070336	0.251110	0.000000	1.000000	
0.226135	0.511170	0.687595	1.000000	0.000000	
0.164802	0.791363	0.442598	1.000000	1.000000	
0.943153	0.680425	0.688802	2.000000	1.000000	
0.221457	0.262186	0.346219	4.000000	2.000000	
0.323887	0.780684	0.434378	3.000000	1.000000	
0.800205	0.387450	0.153167	2.000000	0.000000	
0.725334	0.887178	0.063340	0.000000	0.000000	
0.681687	0.942900	0.823202	2.000000	2.000000	
0.943114	0.419965	0.401946	2.000000	3.000000	
0.342241	0.640224	0.013142	1.000000	1.000000	
0.427304	0.226177	0.627721	2.000000	1.000000	
0.654770	0.993597	0.668472	1.000000	1.000000	
0.960462	0.674760	0.699825	2.000000	1.000000	
0.091397	0.993382	0.586973	1.000000	1.000000	
0.591391	0.284191	0.052315	2.000000	0.000000	
0.387501	0.127253	0.343226	0.000000	3.000000	
0.591713	0.097699	0.558530	0.000000	0.000000	
0.792372	0.986227	0.637200	1.000000	0.000000	
0.891909	0.151882	0.964885	0.000000	0.000000	
0.783858	0.876794	0.768122	0.000000	1.000000	
0.760722	0.136262	0.408454	4.000000	1.000000	
0.602911	0.914807	0.384138	3.000000	2.000000	
0.064607	0.223852	0.697758	3.000000	2.000000	
0.593688	0.157492	0.869539	1.000000	5.000000	
0.390065	0.342277	0.701816	0.000000	1.000000	
0.044067	0.902618	0.236553	1.000000	5.000000	
0.640653	0.172280	0.598321	1.000000	1.000000	
0.316796	0.756789	0.979996	1.000000	0.000000	
0.695744	0.103702	0.519536	0.000000	0.000000	
0.359916	0.061657	0.878922	0.000000	1.000000	
0.083178	0.666203	0.186321	1.000000	1.000000	
0.752948	0.306907	0.903486	1.000000	2.000000	
0.963223	0.488845	0.574254	0.000000	3.000000	
0.566999	0.405919	0.427219	1.000000	0.000000	
0.181450	0.265037	0.737311	2.000000	0.000000	
0.667375	0.814174	0.454901	2.000000	0.000000	
0.517099	0.027855	0.773195	2.000000	1.000000	
0.054297	0.094390	0.533316	3.000000	0.000000	
0.512196	0.565299	0.958157	3.000000	2.000000	
0.365511	0.747468	0.515882	2.000000	2.000000	
0.618608	0.696398	0.017826	2.000000	2.000000	
0.436595	0.652280	0.120865	2.000000	2.000000	
0.442070	0.800983	0.445569	1.000000	3.000000	
0.901625	0.910649	0.091202	3.000000	0.000000	
0.341527	0.335027	0.479417	2.000000	1.000000	
0.076285	0.314086	0.759155	1.000000	0.000000	
0.178194	0.843974	0.357569	1.000000	3.000000	
0.445684	0.661931	0.139327	1.000000	1.000000	
0.656366	0.105746	0.742239	1.000000	1.000000	
0.896250	0.968138	0.353439	1.000000	0.000000	
0.562357	0.374624	0.223941	2.000000	1.000000	
0.222560	0.019795	0.455650	3.000000	1.000000	
0.274150	0.759273	0.865132	0.000000	3.000000	
0.154176	0.395481	0.678852	1.000000	2.000000	
0.664984	0.112987	0.500241	1.000000	2.000000	
0.056329	0.829315	0.700939	1.000000	2.000000	
0.213412	0.736131	0.950223	0.000000	0.000000	
0.404076	0.776236	0.120280	1.000000	0.000000	
0.888035	0.036210	0.591682	1.000000	2.000000	
0.687170	0.740855	0.785219	1.000000	1.000000	
0.781827	0.388469	0.092160	2.000000	0.000000	
0.322577	0.694408	0.703997	3.000000	0.000000	
0.208403	0.987595	0.912926	1.000000	0.000000	
0.444920	0.656085	0.578232	1.000000	3.000000	
0.589954	0.897572	0.978768	0.000000	0.000000	
0.275699	0.290564	0.943776	1.000000	2.000000	
0.542912	0.393977	0.733799	1.000000	0.000000	
0.400200	0.514682	0.190093	3.000000	0.000000	
0.368469	0.051476	0.132242	3.000000	2.000000	
0.925604	0.919933	0.462041	1.000000	2.000000	
0.935759	0.055647	0.360239	1.000000	0.000000	
0.371416	0.648570	0.451118	3.000000	1.000000	
0.282843	0.067198	0.318603	2.000000	1.000000	
0.121639	0.422131	0.377825	0.000000	0.000000	
0.780067	0.597146	0.280858	0.000000	0.000000	
0.249213	0.195417	0.980475	1.000000	2.000000	
0.572079	0.339525	0.001247	2.000000	2.000000	
0.066912	0.700441	0.022177	1.000000	1.000000	
0.901452	0.407653	0.755441	1.000000	1.000000	
0.215732	0.466867	0.555131	1.000000	0.000000	
0.239608	0.441278	0.204134	3.000000	1.000000	
0.308391	0.121634	0.568990	0.000000	1.000000	
0.927843	0.823869	0.207722	0.000000	4.000000	
0.918135	0.671761	0.478459	0.000000	1.000000	
0.776535	0.798691	0.061340	2.000000	0.000000	
0.816404	0.942415	0.958623	1.000000	1.000000	
0.915221	0.422876	0.489725	1.000000	0.000000	
0.969382	0.610945	0.325286	0.000000	0.000000	
0.422326	0.124342	0.213768	4.000000	1.000000	
0.822377	0.098775	0.765372	4.000000	0.000000	
0.722555	0.809795	0.156630	0.000000	1.000000	
0.926603	0.427585	0.039339	1.000000	0.000000	
0.536845	0.706603	0.866652	0.000000	2.000000	
0.349578	0.610907	0.380206	1.000000	2.000000	
0.557325	0.394360	0.072652	2.000000	1.000000	
0.683299	0.154191	0.558266	0.000000	1.000000	
0.203476	0.316191	0.603796	0.000000	0.000000	
0.999204	0.901533	0.737892	4.000000	1.000000	
0.030044	0.366009	0.878487	1.000000	2.000000	
0.659081	0.741735	0.022477	1.000000	0.000000	
0.729551	0.128219	0.078079	0.000000	1.000000	
0.270611	0.453160	0.146768	1.000000	2.000000	
0.384410	0.387828	0.635376	3.000000	2.000000	
0.580631	0.053945	0.944423	3.000000	0.000000	
0.608942	0.366554	0.571828	1.000000	0.000000	
0.724435	0.190284	0.077403	1.000000	3.000000	
0.295681	0.675384	0.886195	1.000000	1.000000	
0.762227	0.337132	0.844506	1.000000	0.000000	
0.884220	0.072988	0.098859	2.000000	0.000000	
0.856055	0.455265	0.891078	2.000000	0.000000	
0.324161	0.305790	0.157004	1.000000	0.000000	
0.412250	0.910413	0.014885	3.000000	0.000000	
0.943231	0.584713	0.154408	0.000000	2.000000	
0.238283	0.631998	0.746048	0.000000	1.000000	
0.045648	0.181689	0.235239	1.000000	3.000000	
0.615169	0.563059	0.953083	2.000000	0.000000	
0.353623	0.044090	0.169156	1.000000	1.000000	
0.822827	0.035095	0.729972	2.000000	2.000000	
0.476796	0.162682	0.130306	1.000000	0.000000	
0.290660	0.328730	0.539150	0.000000	1.000000	
0.223143	0.254539	0.865313	1.000000	3.000000	
0.222897	0.989385	0.979934	1.000000	2.000000	
0.732727	0.167653	0.485500	0.000000	2.000000	
0.245347	0.304384	0.572221	0.000000	2.000000	
0.999891	0.423823	0.191391	1.000000	2.000000	
0.665168	0.571371	0.237547	0.000000	0.000000	
0.195896	0.071423	0.521158	1.000000	0.000000	
0.410772	0.420356	0.434611	1.000000	2.000000	
0.016494	0.227444	0.505673	1.000000	0.000000	
0.933427	0.062357	0.325908	1.000000	1.000000	
0.985387	0.371535	0.322807	0.000000	0.000000	
0.830476	0.473690	0.418472	3.000000	1.000000	
0.155637	0.102727	0.061744	3.000000	1.000000	
0.682872	0.282938	0.265590	0.000000	0.000000	
0.856595	0.057444	0.164294	2.000000	3.000000	
0.211728	0.551448	0.847337	0.000000	0.000000	
0.669344	0.567639	0.444057	2.000000	0.000000	
0.867212	0.621762	0.298234	0.000000	1.000000	
0.486323	0.797129	0.640602	1.000000	0.000000	
0.149591	0.800967	0.465704	1.000000	1.000000	
0.019875	0.751264	0.296091	3.000000	0.000000	
0.111590	0.576785	0.856254	1.000000	3.000000	
0.898330	0.714438	0.934970	0.000000	2.000000	
0.517130	0.310044	0.039699	1.000000	0.000000	
0.120797	0.427192	0.358537	1.000000	2.000000	
0.826843	0.376883	0.142235	2.000000	0.000000	
0.705538	0.799869	0.309049	0.000000	0.000000	
0.911638	0.218673	0.293136	1.000000	3.000000	
0.747168	0.568366	0.415602	1.000000	0.000000	
0.098516	0.636005	0.732605	2.000000	1.000000	
0.743124	0.650670	0.641679	2.000000	1.000000	
0.167749	0.241353	0.971511	2.000000	1.000000	
0.962301	0.047834	0.756723	2.000000	3.000000	
0.751090	0.818822	0.298390	2.000000	1.000000	
0.559071	0.374702	0.947608	2.000000	2.000000	
0.036988	0.370892	0.380317	1.000000	0.000000	
0.527765	0.694863	0.860040	2.000000	1.000000	
0.326202	0.752123	0.683217	0.000000	0.000000	
0.914181	0.796764	0.732400	3.000000	0.000000	
0.471957	0.667382	0.114657	1.000000	0.000000	
0.731640	0.972525	0.604512	2.000000	0.000000	
0.295560	0.265876	0.810107	0.000000	4.000000	
0.458290	0.954323	0.549669	1.000000	0.000000	
0.110168	0.046662	0.215645	2.000000	1.000000	
0.684100	0.063473	0.935987	1.000000	2.000000	
0.209738	0.917885	0.311308	1.000000	3.000000	
0.539280	0.383126	0.012301	0.000000	1.000000	
0.505211	0.825341	0.478463	1.000000	0.000000	
0.074193	0.146418	0.220398	0.000000	0.000000	
0.910867	0.991233	0.606987	1.000000	2.000000	
0.397405	0.739085	0.716412	0.000000	1.000000	
0.224887	0.540626	0.218637	1.000000	1.000000	
0.086533	0.529955	0.579070	4.000000	0.000000	
0.769808	0.183457	0.221974	1.000000	0.000000	
0.861983	0.054569	0.521092	0.000000	0.000000	
0.958065	0.317966	0.968842	2.000000	0.000000	
0.692705	0.544134	0.406236	1.000000	1.000000	
0.617096	0.328896	0.443228	1.000000	1.000000	
0.928557	0.727623	0.872572	0.000000	1.000000	
0.738022	0.762114	0.866031	2.000000	3.000000	
0.732280	0.696867	0.858592	2.000000	2.000000	
0.050019	0.825649	0.701345	1.000000	0.000000	
0.346549	0.905653	0.413409	2.000000	0.000000	
0.502935	0.152904	0.647106	0.000000	2.000000	
0.691213	0.500905	0.310178	0.000000	1.000000	
0.579484	0.254497	0.035470	1.000000	1.000000	
0.718095	0.288759	0.969593	2.000000	2.000000	
0.866670	0.759299	0.177209	1.000000	2.000000	
0.334132	0.860624	0.673313	1.000000	1.000000	
0.851148	0.124205	0.003628	4.000000	0.000000	
0.996328	0.115907	0.397662	0.000000	0.000000	
0.614695	0.454442	0.073824	1.000000	2.000000	
0.705059	0.451880	0.314008	1.000000	3.000000	
0.624906	0.726547	0.778402	1.000000	3.000000	
0.449051	0.039264	0.917407	1.000000	1.000000	
0.331749	0.248359	0.128433	4.000000	0.000000	
0.269859	0.682946	0.880298	0.000000	0.000000	
0.068266	0.590495	0.942738	1.000000	2.000000	
0.682541	0.631394	0.950105	1.000000	2.000000	
0.528962	0.357035	0.589812	1.000000	0.000000	
0.235303	0.587365	0.632361	1.000000	0.000000	
0.407691	0.689211	0.359335	1.000000	0.000000	
0.834247	0.445911	0.935565	0.000000	2.000000	
0.302272	0.248831	0.697322	2.000000	0.000000	
0.105896	0.000477	0.164172	2.000000	1.000000	
0.124372	0.743479	0.057957	0.000000	1.000000	
0.148840	0.632971	0.616489	0.000000	0.000000	
0.551656	0.478339	0.397045	2.000000	5.000000	
0.471192	0.650403	0.208801	1.000000	0.000000	
0.260145	0.706863	0.015978	0.000000	3.000000	
0.696752	0.036501	0.013266	1.000000	0.000000	
0.648382	0.637580	0.325201	2.000000	0.000000	
0.491180	0.995033	0.238565	0.000000	1.000000	
0.811157	0.495324	0.984921	1.000000	0.000000	
0.479576	0.023365	0.784358	1.000000	0.000000	
0.681890	0.399965	0.965800	0.000000	1.000000	
0.537007	0.199769	0.502054	2.000000	2.000000	
0.057862	0.563740	0.901686	1.000000	1.000000	
0.778695	0.335742	0.501597	3.000000	1.000000	
0.604509	0.321523	0.580519	0.000000	1.000000	
0.861358	0.225652	0.006672	1.000000	1.000000	
0.396344	0.247653	0.282124	4.000000	1.000000	
0.182172	0.725346	0.829303	1.000000	0.000000	
0.046618	0.992695	0.726052	1.000000	1.000000	
0.047814	0.185635	0.060975	1.000000	1.000000	
0.903927	0.809558	0.237637	1.000000	0.000000	
0.818064	0.815975	0.311122	1.000000	0.000000	
0.413846	0.702414	0.619934	2.000000	2.000000	
0.908390	0.113408	0.331483	2.000000	3.000000	
0.561989	0.806414	0.819239	1.000000	1.000000	
0.918239	0.287424	0.947551	0.000000	3.000000	
0.235556	0.667332	0.369319	1.000000	2.000000	
0.301930	0.852653	0.242224	1.000000	1.000000	
0.216602	0.313415	0.001977	0.000000	0.000000	
0.476987	0.200679	0.378392	3.000000	1.000000	
0.810679	0.283001	0.042935	0.000000	0.000000	
0.560858	0.922539	0.938831	2.000000	1.000000	
0.085870	0.155857	0.249652	0.000000	0.000000	
0.570006	0.715196	0.761278	0.000000	1.000000	
0.761506	0.668973	0.815578	0.000000	0.000000	
0.608851	0.517590	0.102492	1.000000	2.000000	
0.279511	0.490962	0.461062	0.000000	3.000000	
0.813568	0.001777	0.850819	3.000000	0.000000	
0.988725	0.875035	0.247831	3.000000	2.000000	
0.247905	0.033555	0.355790	1.000000	1.000000	
0.208937	0.745780	0.267501	3.000000	1.000000	
0.588742	0.805402	0.169657	1.000000	2.000000	
0.946069	0.239775	0.425610	1.000000	1.000000	
0.249226	0.343605	0.979094	0.000000	2.000000	
0.646117	0.130798	0.029209	1.000000	0.000000	
0.473636	0.822781	0.301342	1.000000	1.000000	
0.937384	0.762745	0.334813	4.000000	3.000000	
0.594177	0.719926	0.913033	1.000000	1.000000	
0.972955	0.255032	0.261230	1.000000	1.000000	
0.166378	0.855829	0.408394	1.000000	0.000000	
0.404035	0.604065	0.407850	1.000000	1.000000	
0.265133	0.497168	0.197887	1.000000	2.000000	
0.895832	0.304961	0.206627	1.000000	2.000000	
0.120959	0.977813	0.230444	1.000000	1.000000	
0.356769	0.578195	0.171633	2.000000	2.000000	
0.934826	0.696032	0.634738	2.000000	2.000000	
0.223352	0.063525	0.167444	1.000000	0.000000	
0.123041	0.805667	0.780747	1.000000	2.000000	
0.237991	0.647800	0.010882	4.000000	0.000000	
0.602401	0.402900	0.231159	0.000000	1.000000	
0.959055	0.542298	0.648910	1.000000	0.000000	
0.730873	0.928857	0.658052	1.000000	0.000000	
0.854425	0.542947	0.006311	1.000000	2.000000	
0.891736	0.429136	0.975810	2.000000	0.000000	
0.165309	0.902243	0.446270	1.000000	0.000000	
0.005681	0.547476	0.220089	1.000000	1.000000	
0.388716	0.324281	0.953663	2.000000	1.000000	
0.335057	0.783829	0.247266	2.000000	2.000000	
0.878302	0.350778	0.318851	3.000000	0.000000	
0.385959	0.128051	0.777138	3.000000	1.000000	
0.447682	0.151617	0.010498	1.000000	0.000000	
0.062064	0.162225	0.943567	1.000000	2.000000	
0.004994	0.232644	0.288329	2.000000	2.000000	
0.217729	0.413630	0.326801	1.000000	0.000000	
0.912868	0.924797	0.509845	3.000000	1.000000	
0.411294	0.726105	0.190261	1.000000	1.000000	
0.378834	0.917956	0.412474	4.000000	1.000000	
0.642418	0.591894	0.127447	0.000000	2.000000	
0.134868	0.715818	0.494390	4.000000	2.000000	
0.168876	0.785697	0.136182	1.000000	0.000000	
0.198771	0.402491	0.222587	1.000000	1.000000	
0.323611	0.304888	0.429844	1.000000	2.000000	
0.776407	0.809091	0.027068	0.000000	0.000000	
0.834995	0.361536	0.331030	1.000000	1.000000	
0.944773	0.919968	0.944817	1.000000	1.000000	
0.948738	0.131405	0.200261	2.000000	1.000000	
0.050967	0.239271	0.347011	3.000000	1.000000	
0.019989	0.379420	0.081613	3.000000	2.000000	
0.060438	0.966741	0.332922	0.000000	0.000000	
0.259611	0.345209	0.370645	0.000000	0.000000	
0.938775	0.576517	0.871632	1.000000	1.000000	
0.723942	0.819026	0.010971	0.000000	1.000000	
0.731393	0.403807	0.545068	3.000000	1.000000	
