i	i	i	n	n
0.000000	5.000000	2.000000	0.235031	0.534927	
3.000000	5.000000	5.000000	0.932185	0.219770	
0.000000	5.000000	4.000000	0.634555	0.233764	
1.000000	5.000000	5.000000	0.216087	0.512035	
1.000000	5.000000	5.000000	0.190431	0.561201	
1.000000	5.000000	5.000000	0.469651	0.907293	
0.000000	3.000000	4.000000	0.472614	0.977862	
3.000000	5.000000	5.000000	0.902633	0.069751	
2.000000	5.000000	3.000000	0.321520	0.246524	
2.000000	5.000000	4.000000	0.704516	0.084673	
2.000000	5.000000	5.000000	0.271547	0.019045	
0.000000	5.000000	5.000000	0.541778	0.853922	
2.000000	5.000000	5.000000	0.199275	0.914192	
2.000000	5.000000	4.000000	0.682256	0.854543	
4.000000	5.000000	5.000000	0.830792	0.356461	
0.000000	5.000000	5.000000	0.990431	0.941680	
1.000000	5.000000	4.000000	0.195945	0.124168	
3.000000	4.000000	5.000000	0.847041	0.981925	
2.000000	4.000000	5.000000	0.862697	0.459315	
2.000000	5.000000	5.000000	0.395874	0.908733	
0.000000	5.000000	5.000000	0.554702	0.280346	
1.000000	4.000000	5.000000	0.627165	0.213768	
1.000000	5.000000	4.000000	0.334980	0.939682	
2.000000	5.000000	4.000000	0.509609	0.767246	
5.000000	4.000000	5.000000	0.396490	0.311530	
0.000000	4.000000	5.000000	0.806174	0.323428	
0.000000	2.000000	4.000000	0.769835	0.442721	
2.000000	3.000000	3.000000	0.417061	0.817925	
2.000000	1.000000	3.000000	0.911507	0.060416	
1.000000	5.000000	3.000000	0.039205	0.176558	
2.000000	1.000000	1.000000	0.906928	0.290910	
1.000000	5.000000	5.000000	0.886049	0.365801	
3.000000	1.000000	3.000000	0.516049	0.775924	
0.000000	5.000000	5.000000	0.753896	0.148929	
1.000000	3.000000	1.000000	0.097916	0.410535	
5.000000	5.000000	3.000000	0.803186	0.066731	
1.000000	5.000000	5.000000	0.455979	0.947664	
0.000000	5.000000	5.000000	0.530520	0.417293	
3.000000	4.000000	5.000000	0.984444	0.914377	
1.000000	3.000000	5.000000	0.231768	0.542560	
0.000000	5.000000	5.000000	0.773266	0.186134	
2.000000	4.000000	4.000000	0.801755	0.553365	
0.000000	4.000000	3.000000	0.191234	0.098583	
1.000000	3.000000	5.000000	0.887026	0.688911	
1.000000	4.000000	4.000000	0.598085	0.687374	
0.000000	4.000000	5.000000	0.675335	0.406804	
2.000000	4.000000	4.000000	0.588961	0.578586	
2.000000	5.000000	4.000000	0.546801	0.082871	
1.000000	1.000000	5.000000	0.433073	0.537247	
2.000000	5.000000	5.000000	0.750600	0.400652	
0.000000	2.000000	2.000000	0.377756	0.016352	
0.000000	4.000000	3.000000	0.043702	0.763242	
1.000000	3.000000	1.000000	0.723864	0.091886	
1.000000	5.000000	4.000000	0.810439	0.049875	
1.000000	5.000000	4.000000	0.888208	0.321921	
0.000000	5.000000	5.000000	0.178251	0.464179	
0.000000	3.000000	5.000000	0.015700	0.622667	
0.000000	5.000000	4.000000	0.727137	0.586221	
3.000000	5.000000	5.000000	0.887520	0.734637	
1.000000	5.000000	3.000000	0.961532	0.037344	
2.000000	5.000000	4.000000	0.998076	0.243240	
1.000000	5.000000	5.000000	0.955916	0.635319	
1.000000	4.000000	3.000000	0.482173	0.791172	
2.000000	5.000000	4.000000	0.024019	0.819226	
3.000000	5.000000	3.000000	0.818987	0.162485	
3.000000	5.000000	4.000000	0.214772	0.029824	
2.000000	5.000000	5.000000	0.823116	0.790553	
1.000000	5.000000	5.000000	0.832381	0.380641	
1.000000	5.000000	4.000000	0.912145	0.155981	
0.000000	5.000000	4.000000	0.623447	0.008161	
1.000000	5.000000	4.000000	0.728157	0.214172	
1.000000	5.000000	5.000000	0.480390	0.319594	
2.000000	5.000000	5.000000	0.381775	0.971704	
1.000000	5.000000	5.000000	0.919391	0.245808	
2.000000	2.000000	5.000000	0.454928	0.033506	
4.000000	5.000000	5.000000	0.384724	0.628396	
2.000000	2.000000	3.000000	0.944622	0.554759	
1.000000	5.000000	4.000000	0.945867	0.953166	
1.000000	1.000000	4.000000	0.672421	0.575385	
1.000000	5.000000	5.000000	0.096849	0.575210	
4.000000	2.000000	1.000000	0.844240	0.098553	
1.000000	5.000000	5.000000	0.873319	0.723874	
1.000000	4.000000	0.000000	0.819645	0.033186	
0.000000	5.000000	5.000000	0.544655	0.261948	
0.000000	5.000000	5.000000	0.458383	0.143729	
2.000000	3.000000	5.000000	0.820119	0.766349	
2.000000	5.000000	5.000000	0.295681	0.631656	
1.000000	5.000000	3.000000	0.436123	0.160820	
1.000000	4.000000	3.000000	0.100204	0.708079	
1.000000	5.000000	5.000000	0.754321	0.817453	
4.000000	5.000000	5.000000	0.324970	0.422382	
1.000000	5.000000	3.000000	0.374426	0.110116	
0.000000	4.000000	3.000000	0.713719	0.934317	
4.000000	5.000000	5.000000	0.807920	0.188382	
1.000000	3.000000	5.000000	0.568210	0.390400	
1.000000	4.000000	4.000000	0.888588	0.518332	
1.000000	4.000000	4.000000	0.587218	0.778324	
1.000000	2.000000	5.000000	0.454086	0.300527	
1.000000	5.000000	5.000000	0.511126	0.816581	
0.000000	3.000000	3.000000	0.274688	0.952659	
0.000000	4.000000	5.000000	0.637904	0.568435	
3.000000	3.000000	2.000000	0.094378	0.560664	
0.000000	3.000000	5.000000	0.152845	0.377290	
1.000000	3.000000	2.000000	0.577906	0.600497	
3.000000	5.000000	4.000000	0.271753	0.143179	
1.000000	5.000000	3.000000	0.852964	0.600494	
2.000000	4.000000	5.000000	0.808554	0.924314	
1.000000	5.000000	5.000000	0.454104	0.321705	
1.000000	5.000000	4.000000	0.677491	0.998169	
1.000000	4.000000	5.000000	0.650773	0.511924	
2.000000	5.000000	5.000000	0.070262	0.275024	
1.000000	3.000000	3.000000	0.584585	0.571161	
0.000000	5.000000	4.000000	0.511611	0.201107	
3.000000	0.000000	4.000000	0.745884	0.814468	
3.000000	5.000000	5.000000	0.330470	0.994032	
2.000000	2.000000	0.000000	0.218174	0.343810	
2.000000	5.000000	5.000000	0.830374	0.329034	
2.000000	1.000000	0.000000	0.635250	0.350061	
1.000000	5.000000	4.000000	0.750743	0.739634	
0.000000	2.000000	2.000000	0.976813	0.801347	
0.000000	4.000000	4.000000	0.286889	0.026436	
1.000000	5.000000	2.000000	0.864899	0.278510	
0.000000	4.000000	4.000000	0.009267	0.452244	
1.000000	5.000000	5.000000	0.013416	0.180310	
3.000000	5.000000	4.000000	0.075980	0.198515	
2.000000	3.000000	5.000000	0.608105	0.816468	
0.000000	5.000000	4.000000	0.356199	0.454951	
3.000000	3.000000	5.000000	0.936628	0.568860	
1.000000	5.000000	5.000000	0.636690	0.914552	
5.000000	3.000000	5.000000	0.813069	0.391639	
3.000000	4.000000	5.000000	0.342163	0.569550	
2.000000	4.000000	3.000000	0.939194	0.546222	
0.000000	3.000000	5.000000	0.555383	0.256904	
0.000000	5.000000	4.000000	0.610203	0.332041	
0.000000	2.000000	3.000000	0.187109	0.450304	
1.000000	4.000000	5.000000	0.171210	0.849278	
3.000000	4.000000	2.000000	0.064809	0.054185	
2.000000	5.000000	5.000000	0.214285	0.740832	
0.000000	4.000000	4.000000	0.464436	0.510287	
2.000000	5.000000	4.000000	0.968115	0.002965	
0.000000	5.000000	4.000000	0.700841	0.574862	
1.000000	4.000000	5.000000	0.628579	0.821042	
1.000000	5.000000	5.000000	0.045347	0.733152	
1.000000	5.000000	5.000000	0.748169	0.781867	
0.000000	5.000000	5.000000	0.308083	0.720835	
3.000000	5.000000	5.000000	0.735224	0.238821	
2.000000	5.000000	5.000000	0.362545	0.198107	
2.000000	5.000000	3.000000	0.386252	0.948227	
4.000000	5.000000	5.000000	0.920890	0.494198	
0.000000	5.000000	5.000000	0.116662	0.686177	
0.000000	5.000000	5.000000	0.240169	0.516943	
2.000000	5.000000	5.000000	0.421094	0.385590	
1.000000	5.000000	3.000000	0.675666	0.427334	
1.000000	4.000000	5.000000	0.469370	0.798652	
0.000000	5.000000	3.000000	0.015493	0.124080	
3.000000	5.000000	2.000000	0.389520	0.816160	
0.000000	4.000000	4.000000	0.836427	0.443949	
2.000000	5.000000	5.000000	0.555009	0.653172	
2.000000	5.000000	5.000000	0.456155	0.817739	
2.000000	5.000000	2.000000	0.715183	0.654430	
2.000000	5.000000	5.000000	0.890348	0.111533	
0.000000	4.000000	4.000000	0.824049	0.245074	
1.000000	5.000000	5.000000	0.053271	0.030825	
1.000000	2.000000	4.000000	0.597274	0.434345	
1.000000	5.000000	5.000000	0.678026	0.642067	
3.000000	2.000000	2.000000	0.285583	0.602030	
0.000000	5.000000	5.000000	0.806682	0.293550	
1.000000	1.000000	2.000000	0.095725	0.274329	
3.000000	4.000000	5.000000	0.147551	0.836935	
1.000000	1.000000	3.000000	0.915124	0.043040	
3.000000	4.000000	4.000000	0.582424	0.718126	
2.000000	2.000000	3.000000	0.906683	0.403797	
2.000000	4.000000	5.000000	0.795428	0.926245	
2.000000	1.000000	3.000000	0.609339	0.656119	
2.000000	2.000000	5.000000	0.834800	0.740534	
0.000000	0.000000	0.000000	0.316700	0.680300	
1.000000	3.000000	1.000000	0.158013	0.608284	
0.000000	3.000000	0.000000	0.122811	0.401578	
1.000000	5.000000	3.000000	0.501639	0.879030	
0.000000	3.000000	5.000000	0.885484	0.581389	
5.000000	5.000000	5.000000	0.995638	0.003396	
1.000000	3.000000	3.000000	0.095364	0.369094	
1.000000	5.000000	5.000000	0.224067	0.477363	
1.000000	4.000000	5.000000	0.080992	0.654497	
1.000000	5.000000	4.000000	0.219809	0.773544	
2.000000	4.000000	4.000000	0.779883	0.684207	
1.000000	5.000000	2.000000	0.380748	0.744211	
3.000000	5.000000	5.000000	0.164890	0.961966	
2.000000	4.000000	5.000000	0.995104	0.619897	
0.000000	5.000000	4.000000	0.773551	0.367752	
4.000000	5.000000	5.000000	0.049654	0.227432	
2.000000	5.000000	5.000000	0.774171	0.969097	
3.000000	4.000000	5.000000	0.266247	0.101229	
1.000000	5.000000	5.000000	0.270297	0.252798	
0.000000	5.000000	5.000000	0.845430	0.559256	
3.000000	5.000000	5.000000	0.656210	0.685778	
0.000000	2.000000	5.000000	0.315832	0.010644	
0.000000	5.000000	5.000000	0.785986	0.914227	
1.000000	5.000000	3.000000	0.978297	0.592792	
2.000000	5.000000	5.000000	0.270627	0.739886	
2.000000	5.000000	5.000000	0.742769	0.633643	
1.000000	4.000000	3.000000	0.324001	0.501779	
5.000000	5.000000	4.000000	0.744164	0.630364	
0.000000	5.000000	5.000000	0.354276	0.432803	
3.000000	3.000000	5.000000	0.033418	0.058260	
1.000000	5.000000	5.000000	0.156921	0.133930	
1.000000	4.000000	5.000000	0.716977	0.937053	
3.000000	4.000000	5.000000	0.356989	0.134541	
4.000000	3.000000	5.000000	0.685682	0.839521	
1.000000	5.000000	3.000000	0.806728	0.743552	
0.000000	0.000000	3.000000	0.789261	0.650195	
1.000000	4.000000	5.000000	0.734755	0.785116	
2.000000	0.000000	1.000000	0.048597	0.653600	
3.000000	4.000000	5.000000	0.668276	0.863141	
0.000000	1.000000	1.000000	0.928641	0.900724	
4.000000	5.000000	4.000000	0.568397	0.377970	
1.000000	2.000000	1.000000	0.293320	0.589434	
0.000000	4.000000	4.000000	0.487870	0.082974	
2.000000	1.000000	2.000000	0.639116	0.381518	
1.000000	0.000000	5.000000	0.823250	0.517039	
1.000000	4.000000	0.000000	0.423655	0.700272	
1.000000	2.000000	0.000000	0.342319	0.262156	
2.000000	3.000000	5.000000	0.755321	0.506519	
1.000000	3.000000	3.000000	0.709678	0.637642	
2.000000	4.000000	5.000000	0.485973	0.594463	
1.000000	4.000000	5.000000	0.037981	0.722228	
3.000000	2.000000	5.000000	0.096261	0.428361	
1.000000	5.000000	5.000000	0.958888	0.807151	
1.000000	0.000000	4.000000	0.480723	0.808349	
2.000000	3.000000	5.000000	0.587114	0.770209	
2.000000	0.000000	3.000000	0.657338	0.104601	
2.000000	4.000000	3.000000	0.906015	0.319503	
2.000000	2.000000	1.000000	0.827900	0.336242	
4.000000	5.000000	5.000000	0.384984	0.897860	
0.000000	5.000000	5.000000	0.889999	0.169997	
3.000000	4.000000	5.000000	0.213170	0.351410	
1.000000	5.000000	5.000000	0.991762	0.839652	
2.000000	3.000000	3.000000	0.390419	0.733569	
1.000000	4.000000	5.000000	0.475142	0.177975	
2.000000	1.000000	4.000000	0.483321	0.387093	
0.000000	5.000000	5.000000	0.811898	0.711987	
0.000000	3.000000	2.000000	0.776310	0.665789	
2.000000	4.000000	5.000000	0.299584	0.628920	
0.000000	2.000000	1.000000	0.894225	0.536943	
2.000000	4.000000	4.000000	0.565154	0.131180	
1.000000	2.000000	0.000000	0.057811	0.422718	
2.000000	5.000000	3.000000	0.561728	0.269716	
1.000000	4.000000	2.000000	0.375295	0.224716	
0.000000	4.000000	5.000000	0.969647	0.739076	
0.000000	4.000000	5.000000	0.879772	0.906411	
2.000000	5.000000	5.000000	0.967282	0.508906	
3.000000	4.000000	5.000000	0.665717	0.628282	
3.000000	4.000000	5.000000	0.162043	0.442328	
2.000000	4.000000	4.000000	0.719672	0.543485	
0.000000	3.000000	5.000000	0.218623	0.094489	
0.000000	4.000000	3.000000	0.295012	0.038452	
1.000000	4.000000	4.000000	0.243425	0.077578	
3.000000	4.000000	5.000000	0.579320	0.288423	
2.000000	5.000000	5.000000	0.510635	0.167161	
0.000000	5.000000	5.000000	0.392395	0.512263	
1.000000	5.000000	4.000000	0.923839	0.947021	
1.000000	4.000000	5.000000	0.545927	0.311327	
2.000000	5.000000	5.000000	0.110909	0.488511	
2.000000	3.000000	5.000000	0.806681	0.699126	
1.000000	5.000000	5.000000	0.007797	0.336664	
1.000000	5.000000	3.000000	0.658863	0.885491	
4.000000	4.000000	5.000000	0.800251	0.760825	
3.000000	5.000000	5.000000	0.417531	0.510596	
3.000000	5.000000	5.000000	0.580195	0.833459	
0.000000	5.000000	3.000000	0.161677	0.689574	
2.000000	4.000000	5.000000	0.749957	0.430457	
0.000000	3.000000	5.000000	0.121831	0.485598	
2.000000	1.000000	5.000000	0.211579	0.573648	
3.000000	4.000000	4.000000	0.337362	0.750354	
0.000000	1.000000	3.000000	0.536234	0.598947	
3.000000	4.000000	4.000000	0.063789	0.908343	
0.000000	3.000000	0.000000	0.754580	0.824119	
0.000000	5.000000	4.000000	0.086903	0.909798	
0.000000	5.000000	5.000000	0.778219	0.578108	
1.000000	5.000000	4.000000	0.315726	0.532977	
1.000000	5.000000	5.000000	0.416174	0.986454	
2.000000	5.000000	5.000000	0.351261	0.564828	
3.000000	5.000000	2.000000	0.555974	0.619743	
1.000000	5.000000	5.000000	0.240612	0.350232	
2.000000	4.000000	5.000000	0.025332	0.841676	
3.000000	5.000000	5.000000	0.213607	0.658121	
2.000000	3.000000	4.000000	0.693231	0.111102	
0.000000	4.000000	4.000000	0.916169	0.659341	
0.000000	2.000000	3.000000	0.401650	0.265788	
2.000000	4.000000	4.000000	0.953574	0.039062	
1.000000	1.000000	3.000000	0.253104	0.946619	
0.000000	4.000000	5.000000	0.860116	0.049217	
1.000000	4.000000	2.000000	0.989149	0.025401	
0.000000	4.000000	4.000000	0.668847	0.753218	
1.000000	4.000000	5.000000	0.636457	0.028628	
1.000000	5.000000	5.000000	0.310062	0.903034	
0.000000	3.000000	5.000000	0.270781	0.491755	
0.000000	5.000000	3.000000	0.734098	0.152180	
1.000000	4.000000	3.000000	0.340851	0.363311	
3.000000	4.000000	5.000000	0.855749	0.775431	
1.000000	5.000000	5.000000	0.521394	0.880982	
0.000000	4.000000	5.000000	0.021729	0.598121	
0.000000	5.000000	5.000000	0.322302	0.589143	
0.000000	4.000000	5.000000	0.042845	0.612442	
3.000000	5.000000	4.000000	0.942891	0.325187	
0.000000	5.000000	5.000000	0.044883	0.063077	
0.000000	5.000000	5.000000	0.157932	0.144599	
0.000000	5.000000	5.000000	0.078833	0.919071	
0.000000	4.000000	5.000000	0.501029	0.083184	
1.000000	5.000000	4.000000	0.696818	0.254191	
0.000000	4.000000	5.000000	0.384358	0.521641	
0.000000	5.000000	3.000000	0.545918	0.944250	
1.000000	5.000000	4.000000	0.145122	0.920754	
2.000000	4.000000	4.000000	0.523798	0.811935	
0.000000	4.000000	5.000000	0.601026	0.093113	
1.000000	5.000000	5.000000	0.286494	0.293461	
0.000000	5.000000	4.000000	0.222663	0.089636	
5.000000	5.000000	5.000000	0.924737	0.976322	
0.000000	5.000000	5.000000	0.928073	0.781806	
1.000000	1.000000	5.000000	0.930230	0.987415	
3.000000	5.000000	5.000000	0.184494	0.797654	
0.000000	0.000000	3.000000	0.534062	0.945420	
1.000000	5.000000	5.000000	0.138625	0.452797	
3.000000	1.000000	3.000000	0.015368	0.332105	
0.000000	2.000000	4.000000	0.442905	0.566902	
1.000000	2.000000	1.000000	0.503789	0.157668	
2.000000	4.000000	3.000000	0.195560	0.321801	
1.000000	4.000000	1.000000	0.455111	0.949847	
0.000000	3.000000	5.000000	0.692787	0.304177	
2.000000	2.000000	4.000000	0.832066	0.416957	
1.000000	3.000000	4.000000	0.233029	0.933579	
2.000000	2.000000	4.000000	0.319841	0.684245	
5.000000	5.000000	4.000000	0.656488	0.033723	
2.000000	3.000000	3.000000	0.210757	0.803554	
2.000000	5.000000	5.000000	0.079949	0.680069	
1.000000	4.000000	3.000000	0.202574	0.935725	
2.000000	5.000000	5.000000	0.652943	0.238138	
3.000000	4.000000	5.000000	0.971638	0.417641	
1.000000	5.000000	3.000000	0.603912	0.608805	
1.000000	2.000000	5.000000	0.912203	0.363534	
2.000000	5.000000	5.000000	0.453734	0.686587	
2.000000	3.000000	5.000000	0.547528	0.606618	
1.000000	5.000000	5.000000	0.129362	0.843972	
0.000000	5.000000	4.000000	0.587672	0.483801	
2.000000	4.000000	5.000000	0.162294	0.664481	
2.000000	4.000000	5.000000	0.092323	0.395298	
2.000000	3.000000	3.000000	0.761467	0.030565	
1.000000	5.000000	4.000000	0.658769	0.060470	
1.000000	3.000000	4.000000	0.767103	0.242768	
1.000000	4.000000	5.000000	0.802384	0.048266	
3.000000	4.000000	4.000000	0.168803	0.294511	
1.000000	4.000000	5.000000	0.324466	0.738024	
1.000000	5.000000	5.000000	0.608805	0.758250	
0.000000	5.000000	3.000000	0.756029	0.163525	
0.000000	5.000000	5.000000	0.335673	0.781331	
1.000000	5.000000	5.000000	0.334827	0.247749	
3.000000	5.000000	5.000000	0.363040	0.906276	
1.000000	5.000000	3.000000	0.726692	0.108235	
2.000000	4.000000	5.000000	0.445566	0.748121	
0.000000	5.000000	5.000000	0.152728	0.313275	
2.000000	5.000000	5.000000	0.601999	0.117427	
1.000000	5.000000	4.000000	0.234527	0.336812	
2.000000	4.000000	5.000000	0.670535	0.814641	
2.000000	5.000000	5.000000	0.837563	0.860526	
2.000000	4.000000	3.000000	0.962940	0.766080	
2.000000	5.000000	4.000000	0.403120	0.483940	
3.000000	4.000000	4.000000	0.767537	0.633012	
3.000000	4.000000	5.000000	0.364170	0.750720	
3.000000	5.000000	5.000000	0.564816	0.751318	
1.000000	5.000000	4.000000	0.647808	0.544557	
2.000000	5.000000	5.000000	0.865474	0.821507	
1.000000	5.000000	4.000000	0.946794	0.912832	
0.000000	5.000000	3.000000	0.859580	0.536358	
2.000000	4.000000	4.000000	0.606635	0.414506	
1.000000	5.000000	5.000000	0.798522	0.789950	
2.000000	4.000000	5.000000	0.639846	0.565767	
2.000000	5.000000	4.000000	0.639387	0.117828	
1.000000	5.000000	5.000000	0.321553	0.288698	
1.000000	5.000000	5.000000	0.733690	0.911477	
2.000000	5.000000	5.000000	0.777521	0.802882	
0.000000	4.000000	5.000000	0.427322	0.964087	
0.000000	2.000000	5.000000	0.896857	0.062504	
1.000000	4.000000	5.000000	0.371281	0.524780	
1.000000	4.000000	3.000000	0.850911	0.488820	
0.000000	4.000000	4.000000	0.814009	0.170953	
0.000000	3.000000	5.000000	0.292210	0.682971	
1.000000	5.000000	5.000000	0.707607	0.618759	
2.000000	4.000000	4.000000	0.816254	0.909203	
0.000000	5.000000	5.000000	0.348824	0.208031	
2.000000	5.000000	4.000000	0.055668	0.510936	
3.000000	3.000000	5.000000	0.416542	0.831599	
2.000000	5.000000	5.000000	0.328683	0.739447	
1.000000	4.000000	3.000000	0.223394	0.752142	
4.000000	4.000000	5.000000	0.958250	0.769119	
1.000000	3.000000	5.000000	0.061470	0.016251	
1.000000	5.000000	5.000000	0.174533	0.848597	
2.000000	4.000000	2.000000	0.207499	0.306845	
4.000000	5.000000	4.000000	0.346165	0.827152	
0.000000	3.000000	3.000000	0.753911	0.550403	
2.000000	5.000000	5.000000	0.855466	0.172867	
