n	n	n	n	n
0.367565	0.504272	0.398779	0.501864	0.558760	
0.122507	0.846806	0.467472	0.860168	0.414170	
0.003188	0.153197	0.590192	0.554228	0.929391	
0.308130	0.197291	0.612844	0.636485	0.403425	
0.516029	0.158813	0.313854	0.790957	0.419056	
0.018318	0.540472	0.915409	0.497614	0.220576	
0.258486	0.146692	0.679417	0.422719	0.788747	
0.749006	0.809678	0.226792	0.468460	0.726821	
0.953359	0.876195	0.895886	0.585066	0.238852	
0.070845	0.458830	0.056195	0.586100	0.464402	
0.157675	0.770667	0.362866	0.016568	0.802640	
0.835872	0.962832	0.620061	0.172369	0.751083	
0.524333	0.214113	0.025130	0.029710	0.152060	
0.160757	0.412266	0.482052	0.447729	0.753007	
0.508571	0.657690	0.276089	0.746203	0.578506	
0.809657	0.461844	0.753866	0.477838	0.227862	
0.320904	0.100641	0.880018	0.380301	0.212317	
0.883210	0.999619	0.140012	0.430659	0.484143	
0.824048	0.968768	0.691082	0.697196	0.685892	
0.219454	0.683623	0.352675	0.511862	0.583872	
0.370102	0.357399	0.927799	0.525120	0.948479	
0.795633	0.326889	0.044149	0.157771	0.263047	
0.341143	0.330086	0.273383	0.711512	0.750261	
0.928151	0.630917	0.297273	0.860634	0.952691	
0.995074	0.435970	0.016238	0.761992	0.923964	
0.899756	0.296391	0.483588	0.059381	0.289067	
0.622804	0.439219	0.313931	0.571255	0.771082	
0.657738	0.008835	0.512491	0.608974	0.057793	
0.956177	0.453663	0.819627	0.151320	0.048722	
0.618336	0.223451	0.275720	0.770070	0.350841	
0.165375	0.696901	0.926564	0.868765	0.068016	
0.061641	0.141398	0.271247	0.113603	0.469227	
0.525837	0.691708	0.158875	0.086089	0.408613	
0.174664	0.334042	0.595367	0.749521	0.333282	
0.695592	0.928327	0.596218	0.815581	0.734987	
0.225077	0.261522	0.291250	0.613048	0.670956	
0.963857	0.246668	0.861698	0.934515	0.522263	
0.514563	0.816663	0.126771	0.788236	0.993326	
0.858558	0.795121	0.276360	0.073513	0.869627	
0.727050	0.818794	0.995125	0.231396	0.487762	
0.719487	0.185122	0.709412	0.322319	0.203459	
0.600567	0.246334	0.965134	0.443413	0.438804	
0.322891	0.514233	0.221809	0.487322	0.024086	
0.504544	0.343262	0.025057	0.389229	0.503938	
0.828158	0.494038	0.837745	0.731097	0.879031	
0.449364	0.527335	0.349561	0.131097	0.303076	
0.211515	0.802110	0.412649	0.532219	0.592707	
0.892389	0.011069	0.411329	0.678648	0.410460	
0.801291	0.754121	0.233282	0.210335	0.680907	
0.968396	0.872552	0.689107	0.983962	0.425318	
0.596892	0.153762	0.446859	0.053066	0.522942	
0.119155	0.923513	0.816765	0.092266	0.923247	
0.722319	0.174212	0.109533	0.800604	0.225037	
0.776645	0.817686	0.888237	0.880597	0.335692	
0.717472	0.277550	0.757277	0.785018	0.252955	
0.411125	0.237247	0.965622	0.715317	0.746677	
0.872517	0.685677	0.623004	0.961108	0.796570	
0.707030	0.659934	0.201303	0.868566	0.811775	
0.463845	0.133604	0.595652	0.880564	0.812220	
0.420401	0.142664	0.217082	0.827354	0.225701	
0.825581	0.902749	0.108932	0.869067	0.627084	
0.504886	0.139857	0.368342	0.610866	0.245708	
0.978488	0.412323	0.160730	0.766296	0.424934	
0.261835	0.356312	0.603111	0.550376	0.889629	
0.196562	0.719281	0.222232	0.734406	0.386547	
0.831864	0.941752	0.996651	0.689938	0.113463	
0.754792	0.510203	0.881812	0.255774	0.045303	
0.349694	0.390433	0.555528	0.670712	0.740451	
0.708727	0.963967	0.230091	0.381708	0.774275	
0.354755	0.109253	0.900399	0.363822	0.379507	
0.774338	0.190855	0.018798	0.778759	0.389739	
0.285971	0.995943	0.125118	0.451302	0.954327	
0.030815	0.778561	0.683696	0.446328	0.488156	
0.492347	0.943911	0.858515	0.707861	0.175844	
0.388655	0.768661	0.275463	0.162473	0.360704	
0.839813	0.071992	0.345316	0.857440	0.016553	
0.669398	0.817098	0.175207	0.517747	0.263225	
0.204684	0.278742	0.191758	0.043386	0.153547	
0.952788	0.267955	0.589153	0.286899	0.836259	
0.536028	0.044022	0.369154	0.174510	0.159652	
0.792320	0.754649	0.192297	0.363716	0.156316	
0.188348	0.906310	0.999989	0.283895	0.114260	
0.259894	0.345628	0.021373	0.231289	0.257254	
0.039512	0.247269	0.179973	0.448521	0.535768	
0.060131	0.857013	0.530035	0.386942	0.615903	
0.472447	0.188858	0.944663	0.639101	0.491771	
0.453940	0.600968	0.956491	0.286240	0.045577	
0.788084	0.583779	0.014380	0.939020	0.856520	
0.401808	0.653772	0.650640	0.716638	0.790050	
0.960922	0.612958	0.986556	0.055297	0.734584	
0.675321	0.066203	0.189614	0.634433	0.831459	
0.640475	0.023156	0.264880	0.330689	0.834122	
0.343652	0.082924	0.091515	0.163323	0.017928	
0.932892	0.312018	0.224211	0.670529	0.768299	
0.898238	0.960416	0.916070	0.943573	0.499238	
0.894764	0.862775	0.145449	0.373930	0.067093	
0.980896	0.065214	0.305752	0.084148	0.000721	
0.699295	0.356139	0.057032	0.962218	0.803739	
0.655897	0.839959	0.551883	0.796139	0.868521	
0.231800	0.185284	0.737956	0.622259	0.112530	
0.859188	0.783474	0.311697	0.024092	0.386122	
0.882264	0.797276	0.065607	0.685821	0.491887	
0.092663	0.252603	0.986387	0.960705	0.592009	
0.718162	0.681899	0.790930	0.288590	0.549269	
0.436784	0.583040	0.674077	0.862990	0.130932	
0.445946	0.507927	0.593127	0.429940	0.315506	
0.945187	0.522374	0.804075	0.552739	0.639668	
0.456582	0.222197	0.910518	0.639048	0.145872	
0.838930	0.835526	0.256578	0.858297	0.771087	
0.911721	0.471483	0.886030	0.579050	0.877924	
0.139801	0.968100	0.595029	0.867350	0.331273	
0.187246	0.827200	0.996886	0.257200	0.400929	
0.066895	0.280089	0.035060	0.549397	0.849068	
0.950901	0.503258	0.318650	0.470419	0.818779	
0.909163	0.701823	0.966356	0.672042	0.254577	
0.282295	0.291364	0.735216	0.640570	0.088126	
0.297995	0.478292	0.393216	0.396459	0.585714	
0.955710	0.071568	0.551935	0.146769	0.378810	
0.275418	0.291060	0.097755	0.106485	0.606515	
0.737145	0.734630	0.049162	0.749796	0.106753	
0.245090	0.907487	0.966720	0.502923	0.658078	
0.631395	0.312964	0.463246	0.418897	0.238885	
0.646224	0.937812	0.375943	0.524224	0.524799	
0.849119	0.259547	0.505920	0.471644	0.084744	
0.198204	0.962897	0.964150	0.670221	0.833100	
0.648093	0.295162	0.293658	0.917808	0.908972	
0.600517	0.876227	0.355122	0.911315	0.981918	
0.477778	0.135240	0.120498	0.632956	0.882070	
0.611270	0.206745	0.823626	0.751840	0.968485	
0.061236	0.874730	0.601704	0.694754	0.496505	
0.653966	0.125680	0.537963	0.537130	0.683010	
0.493825	0.795110	0.835194	0.671509	0.205803	
0.745482	0.542364	0.800773	0.649508	0.931522	
0.909354	0.206745	0.966132	0.629610	0.257068	
0.010578	0.508277	0.383209	0.890848	0.359327	
0.099795	0.615398	0.988333	0.136543	0.291826	
0.279837	0.084798	0.673337	0.364318	0.902954	
0.972890	0.887302	0.588319	0.686271	0.174579	
0.005628	0.252932	0.651670	0.403364	0.903804	
0.532610	0.251339	0.884539	0.046055	0.347939	
0.742655	0.884494	0.005463	0.415612	0.963404	
0.583954	0.621518	0.734235	0.253856	0.522608	
0.548548	0.450489	0.597895	0.875501	0.209982	
0.541219	0.209112	0.085323	0.099182	0.570227	
0.755892	0.525675	0.807661	0.525483	0.238160	
0.395144	0.309564	0.210214	0.669753	0.577182	
0.955902	0.649253	0.739200	0.331260	0.452913	
0.847486	0.948730	0.458488	0.811941	0.150689	
0.684602	0.429039	0.755676	0.970268	0.424332	
0.271277	0.887611	0.293134	0.750171	0.414661	
0.369862	0.205291	0.694173	0.256287	0.220239	
0.463598	0.537694	0.236706	0.869105	0.719988	
0.316427	0.431406	0.282788	0.379178	0.363818	
0.744716	0.003953	0.588094	0.695497	0.222435	
0.549117	0.892987	0.963070	0.333601	0.869200	
0.107459	0.317392	0.942815	0.569987	0.751235	
0.732059	0.433371	0.150131	0.622896	0.196828	
0.463477	0.677145	0.662724	0.710954	0.862005	
0.349944	0.178877	0.952425	0.448316	0.358459	
0.058955	0.486819	0.509989	0.979337	0.755561	
0.589683	0.513697	0.417050	0.784644	0.915606	
0.329421	0.572796	0.548543	0.081105	0.762937	
0.856349	0.819177	0.026563	0.878862	0.715958	
0.562924	0.006578	0.829519	0.576010	0.856758	
0.938513	0.747876	0.955033	0.197549	0.294311	
0.217403	0.902716	0.355991	0.763119	0.097270	
0.736284	0.530955	0.751192	0.619806	0.770708	
0.385034	0.800435	0.163758	0.577988	0.440113	
0.531803	0.663435	0.585815	0.567657	0.150643	
0.334380	0.390212	0.318698	0.858712	0.610595	
0.130631	0.076253	0.670041	0.045479	0.110789	
0.997149	0.406631	0.518330	0.665402	0.842292	
0.789783	0.785310	0.482395	0.537467	0.644279	
0.444895	0.727173	0.065241	0.534118	0.961866	
0.738631	0.366541	0.346675	0.593177	0.317204	
0.474307	0.194285	0.805891	0.154757	0.087758	
0.966341	0.812789	0.006791	0.424917	0.777335	
0.842145	0.508334	0.496871	0.782595	0.706388	
0.149304	0.298357	0.041234	0.508445	0.856341	
0.800344	0.009261	0.278042	0.462678	0.563843	
0.429727	0.520226	0.298255	0.317068	0.942043	
0.161840	0.819168	0.203190	0.484666	0.397541	
0.356982	0.643595	0.335288	0.841611	0.765763	
0.752258	0.925131	0.527062	0.219898	0.683582	
0.873344	0.861605	0.849748	0.735194	0.130863	
0.791739	0.702177	0.989416	0.993115	0.708955	
0.724869	0.365229	0.495508	0.475626	0.053170	
0.181213	0.788233	0.456132	0.518216	0.658194	
0.315213	0.332393	0.352739	0.658764	0.130020	
0.670139	0.952954	0.109042	0.672181	0.749210	
0.328598	0.283077	0.123287	0.977382	0.959984	
0.048980	0.343600	0.580949	0.944170	0.642334	
0.765030	0.692391	0.964852	0.501889	0.832778	
0.739428	0.989636	0.462624	0.207686	0.562406	
0.791393	0.297920	0.934875	0.076329	0.980565	
0.557690	0.767437	0.489261	0.769607	0.761087	
0.409500	0.596499	0.756389	0.273122	0.099648	
0.665684	0.284091	0.815588	0.540229	0.231220	
0.246127	0.394824	0.445145	0.156542	0.079515	
0.288693	0.250366	0.523028	0.784030	0.956872	
0.127488	0.371277	0.574714	0.858377	0.407639	
0.716313	0.027969	0.610802	0.850407	0.944644	
0.317381	0.517750	0.837438	0.289208	0.322353	
0.018259	0.345228	0.579489	0.608722	0.868296	
0.205597	0.092401	0.513078	0.751019	0.617187	
0.325992	0.119178	0.425024	0.873641	0.572649	
0.350253	0.237697	0.447682	0.786043	0.590501	
0.916057	0.521704	0.682356	0.685315	0.702025	
0.109351	0.665834	0.581847	0.842041	0.434673	
0.213106	0.656082	0.653384	0.410876	0.288082	
0.426259	0.518879	0.591753	0.469660	0.569954	
0.289617	0.322834	0.725693	0.116753	0.660217	
0.930271	0.598656	0.623837	0.460673	0.451034	
0.439425	0.165181	0.002429	0.546340	0.618623	
0.595948	0.192749	0.843229	0.185619	0.044791	
0.282356	0.105875	0.156840	0.625637	0.463982	
0.613235	0.318139	0.549960	0.616378	0.702195	
0.947257	0.218569	0.942485	0.964911	0.449166	
0.255700	0.022967	0.971850	0.217548	0.190445	
0.836000	0.202345	0.731165	0.105877	0.731617	
0.100178	0.464752	0.099934	0.854737	0.043467	
0.847317	0.590852	0.051456	0.893435	0.412996	
0.843675	0.863217	0.132052	0.192017	0.745705	
0.168394	0.149579	0.688652	0.916021	0.867309	
0.992734	0.735464	0.139372	0.832141	0.037809	
0.243045	0.569989	0.414389	0.384408	0.950027	
0.596956	0.158664	0.803533	0.310649	0.967783	
0.168570	0.450111	0.550538	0.375394	0.161743	
0.174361	0.925230	0.157267	0.548340	0.625345	
0.290052	0.829341	0.204975	0.840123	0.839932	
0.293680	0.555907	0.668272	0.466528	0.995610	
0.857786	0.939516	0.770555	0.032279	0.400849	
0.926927	0.033918	0.642628	0.992573	0.199149	
0.624705	0.895411	0.719456	0.273683	0.399424	
0.259837	0.428460	0.244902	0.557884	0.353969	
0.414651	0.386380	0.171004	0.063138	0.417919	
0.917143	0.339306	0.775229	0.253238	0.957135	
0.933155	0.448582	0.656346	0.532869	0.315145	
0.259337	0.617160	0.059147	0.099635	0.971633	
0.330213	0.190257	0.886146	0.297313	0.267529	
0.136083	0.365101	0.666140	0.020751	0.280525	
0.031633	0.256588	0.685995	0.911858	0.168969	
0.957999	0.384728	0.687235	0.785678	0.676872	
0.747204	0.951559	0.887841	0.808465	0.972069	
0.236738	0.749990	0.797866	0.305904	0.211988	
0.419104	0.626478	0.407425	0.927693	0.403149	
0.799495	0.573174	0.919536	0.545246	0.268456	
0.088343	0.820751	0.712750	0.942317	0.092167	
0.941923	0.213956	0.763922	0.213927	0.828227	
0.848393	0.787407	0.390905	0.995477	0.837615	
0.610917	0.686689	0.367485	0.760711	0.418840	
0.451587	0.897189	0.955022	0.484359	0.756257	
0.506150	0.216967	0.985215	0.612931	0.280638	
0.963476	0.365227	0.242788	0.011284	0.582863	
0.527232	0.410921	0.921512	0.197148	0.741559	
0.227097	0.195908	0.625103	0.317945	0.165558	
0.905648	0.810955	0.479444	0.372108	0.999596	
0.455770	0.550161	0.742611	0.742747	0.472491	
0.545034	0.627679	0.127059	0.786346	0.220825	
0.198768	0.517623	0.879961	0.435254	0.456593	
0.024950	0.201900	0.451663	0.410891	0.237628	
0.299278	0.823556	0.328269	0.001744	0.569367	
0.419268	0.711443	0.452500	0.566564	0.475358	
0.456414	0.533140	0.165775	0.109159	0.537265	
0.173044	0.533774	0.474285	0.953475	0.896615	
0.525415	0.336432	0.809646	0.671554	0.518205	
0.838667	0.624691	0.948641	0.470520	0.803397	
0.629543	0.593466	0.603011	0.581357	0.776240	
0.821614	0.803330	0.508590	0.854546	0.172797	
0.508048	0.538977	0.059800	0.278609	0.960033	
0.729825	0.313588	0.990039	0.571297	0.863306	
0.334534	0.415214	0.260923	0.230324	0.615977	
0.264223	0.478412	0.478117	0.255568	0.959259	
0.169586	0.814012	0.512105	0.611774	0.703526	
0.591517	0.268837	0.279372	0.583633	0.240529	
0.588471	0.260093	0.630164	0.077656	0.856141	
0.532126	0.130179	0.319472	0.061440	0.332027	
0.898171	0.050327	0.039434	0.775403	0.291223	
0.546207	0.865429	0.516375	0.989716	0.211326	
0.369093	0.776400	0.386122	0.131670	0.171995	
0.879384	0.570597	0.593858	0.486103	0.775096	
0.967819	0.620759	0.315895	0.939634	0.986516	
0.395505	0.716183	0.408285	0.861426	0.785662	
0.870719	0.442418	0.839108	0.909562	0.018389	
0.456533	0.198805	0.101210	0.820185	0.955532	
0.837347	0.022742	0.564205	0.966757	0.838920	
0.343146	0.392042	0.416946	0.008135	0.231511	
0.256873	0.458922	0.087885	0.169295	0.917556	
0.401516	0.478824	0.560116	0.759519	0.594739	
0.836505	0.456003	0.227729	0.883613	0.409832	
0.744142	0.750986	0.956128	0.267501	0.215403	
0.910478	0.058795	0.265449	0.839352	0.092183	
0.685228	0.954640	0.008267	0.881017	0.602182	
0.983076	0.323645	0.788409	0.099109	0.798084	
0.642100	0.324911	0.925783	0.877070	0.643643	
0.988413	0.911420	0.236140	0.674717	0.995735	
0.364763	0.748516	0.785028	0.063536	0.879809	
0.029701	0.742626	0.896271	0.707333	0.166389	
0.819991	0.253694	0.056661	0.013406	0.643416	
0.683255	0.895699	0.139396	0.493599	0.715895	
0.345018	0.271830	0.760571	0.638076	0.957585	
0.615582	0.243000	0.531087	0.053796	0.714542	
0.395922	0.635641	0.264441	0.418375	0.925342	
0.514326	0.478814	0.862064	0.982758	0.998044	
0.417468	0.912174	0.554705	0.305733	0.500776	
0.495216	0.880110	0.270833	0.692492	0.972326	
0.403096	0.596303	0.511538	0.259321	0.105566	
0.153232	0.114130	0.398095	0.116942	0.360214	
0.228010	0.688411	0.054112	0.798242	0.011866	
0.189518	0.252949	0.828467	0.592137	0.450494	
0.492084	0.592314	0.387518	0.533482	0.264727	
0.161700	0.026400	0.427032	0.297852	0.971133	
0.112820	0.187781	0.670469	0.128283	0.711369	
0.792996	0.690810	0.689285	0.641622	0.032892	
0.541952	0.373927	0.977382	0.680817	0.461795	
0.851456	0.737457	0.117476	0.295742	0.432772	
0.985446	0.942011	0.945451	0.961386	0.944069	
0.439449	0.410806	0.838995	0.621199	0.291654	
0.888972	0.339708	0.871597	0.486544	0.998790	
0.976143	0.931988	0.757807	0.521658	0.897067	
0.916031	0.689528	0.272090	0.466656	0.491912	
0.434971	0.890173	0.390137	0.107895	0.697176	
0.369199	0.711450	0.963340	0.999389	0.131682	
0.799604	0.095280	0.717356	0.935600	0.932929	
0.257665	0.344437	0.446116	0.022163	0.839726	
0.782810	0.787054	0.629277	0.444558	0.608975	
0.838194	0.677061	0.626248	0.593132	0.733626	
0.038771	0.324839	0.495129	0.032459	0.758507	
0.059839	0.154877	0.304487	0.228373	0.477574	
0.706666	0.793774	0.613626	0.409847	0.904434	
0.603691	0.244767	0.336051	0.679033	0.719280	
0.493232	0.254768	0.366366	0.727685	0.565358	
0.366013	0.809252	0.710092	0.119434	0.476503	
0.904003	0.006059	0.529789	0.869926	0.275119	
0.933706	0.433136	0.966682	0.916312	0.211683	
0.617739	0.665168	0.944715	0.419858	0.698686	
0.911023	0.530690	0.016103	0.488403	0.017983	
0.743703	0.008191	0.167886	0.962238	0.013597	
0.935621	0.914061	0.424608	0.810881	0.825316	
0.374727	0.374788	0.298648	0.961262	0.021243	
0.869178	0.085281	0.285259	0.783078	0.721685	
0.675025	0.892885	0.917719	0.194225	0.405450	
0.479987	0.044521	0.572587	0.323016	0.095761	
0.956968	0.841791	0.785790	0.672285	0.514168	
0.928205	0.307604	0.977148	0.750591	0.045778	
0.955804	0.881501	0.344315	0.415738	0.659983	
0.514748	0.609744	0.133452	0.938442	0.134638	
0.535417	0.586512	0.240914	0.660374	0.386448	
0.207989	0.303179	0.252775	0.160196	0.479755	
0.395683	0.529732	0.718376	0.271446	0.585018	
0.316728	0.357034	0.646283	0.271537	0.832269	
0.703604	0.067322	0.343983	0.759527	0.584566	
0.549900	0.576534	0.434617	0.566255	0.419698	
0.019492	0.013518	0.123124	0.677879	0.681490	
0.196686	0.365081	0.797900	0.594419	0.254456	
0.290763	0.159958	0.699814	0.561631	0.011476	
0.582369	0.042469	0.185429	0.271459	0.979395	
0.072975	0.764750	0.061364	0.677676	0.958111	
0.219939	0.454719	0.359537	0.229572	0.762746	
0.539697	0.394565	0.952784	0.695504	0.268709	
0.154418	0.609911	0.679827	0.595405	0.147963	
