i	i	i	i	i	i	i	n	n	n
0.000000	2.000000	0.000000	0.000000	3.000000	2.000000	0.000000	0.365794	0.522869	0.488953	
2.000000	2.000000	3.000000	1.000000	1.000000	2.000000	2.000000	0.293133	0.364341	0.714652	
1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	2.000000	0.056870	0.505562	0.856545	
1.000000	2.000000	1.000000	1.000000	3.000000	1.000000	1.000000	0.174955	0.563304	0.579567	
1.000000	5.000000	5.000000	2.000000	1.000000	2.000000	2.000000	0.554199	0.218887	0.860258	
1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	1.000000	0.784821	0.031200	0.927245	
0.000000	2.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.222912	0.169693	0.844553	
0.000000	0.000000	2.000000	2.000000	2.000000	2.000000	0.000000	0.299601	0.912521	0.073066	
0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.139184	0.824947	0.491962	
3.000000	0.000000	1.000000	1.000000	2.000000	1.000000	2.000000	0.502551	0.266572	0.896235	
0.000000	1.000000	1.000000	3.000000	1.000000	1.000000	0.000000	0.734705	0.451958	0.327576	
0.000000	0.000000	3.000000	0.000000	0.000000	1.000000	1.000000	0.193699	0.167302	0.700330	
1.000000	1.000000	2.000000	0.000000	2.000000	0.000000	0.000000	0.759724	0.962558	0.345016	
0.000000	1.000000	2.000000	0.000000	1.000000	0.000000	0.000000	0.014464	0.284749	0.992939	
2.000000	3.000000	1.000000	0.000000	1.000000	2.000000	2.000000	0.249245	0.634120	0.240485	
1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.474830	0.922231	0.138090	
1.000000	0.000000	0.000000	0.000000	2.000000	1.000000	0.000000	0.185388	0.302467	0.279759	
4.000000	1.000000	0.000000	1.000000	1.000000	0.000000	2.000000	0.721655	0.648332	0.891405	
1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.691399	0.877076	0.578535	
1.000000	2.000000	1.000000	1.000000	0.000000	4.000000	1.000000	0.528878	0.003999	0.583855	
3.000000	1.000000	4.000000	0.000000	2.000000	0.000000	3.000000	0.217102	0.569463	0.951231	
0.000000	2.000000	2.000000	1.000000	1.000000	0.000000	1.000000	0.432585	0.814393	0.896793	
1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.091209	0.134718	0.939947	
4.000000	1.000000	2.000000	0.000000	0.000000	3.000000	2.000000	0.477676	0.819197	0.976425	
0.000000	1.000000	1.000000	1.000000	0.000000	2.000000	1.000000	0.403438	0.152802	0.892127	
1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.028176	0.455929	0.967648	
1.000000	1.000000	1.000000	0.000000	0.000000	3.000000	0.000000	0.456244	0.229170	0.785936	
0.000000	0.000000	2.000000	1.000000	2.000000	0.000000	3.000000	0.489871	0.251618	0.717709	
3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.926672	0.515040	0.716977	
1.000000	1.000000	1.000000	3.000000	3.000000	0.000000	0.000000	0.645802	0.427542	0.758603	
2.000000	0.000000	2.000000	3.000000	2.000000	0.000000	0.000000	0.352243	0.942472	0.670825	
2.000000	1.000000	1.000000	1.000000	1.000000	3.000000	1.000000	0.267958	0.030399	0.336661	
2.000000	1.000000	4.000000	0.000000	0.000000	0.000000	1.000000	0.198904	0.549926	0.357612	
2.000000	0.000000	2.000000	0.000000	1.000000	1.000000	0.000000	0.641854	0.583660	0.288613	
1.000000	0.000000	4.000000	0.000000	2.000000	1.000000	1.000000	0.656987	0.486720	0.649488	
0.000000	0.000000	4.000000	2.000000	1.000000	2.000000	1.000000	0.536809	0.428980	0.060207	
1.000000	0.000000	0.000000	2.000000	3.000000	2.000000	2.000000	0.060890	0.529414	0.429000	
2.000000	2.000000	1.000000	1.000000	3.000000	1.000000	0.000000	0.257489	0.525594	0.211610	
1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.468473	0.373912	0.599711	
